###,Menu Sprite,Pokémon,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total,Average,Strengh Summary
711,,Gourgeist (Average Size),65,90,122,58,75,84,494,82.33,
711,,Gourgeist (Large Size),75,95,122,58,75,69,494,82.33,
711,,Gourgeist (Super Size),85,100,122,58,75,54,494,82.33,
713,,Avalugg,95,117,184,44,46,28,514,85.67,
713,,Avalugg (Hisuian Avalugg),95,127,184,34,36,38,514,85.67,
715,,Noivern,85,70,80,97,80,123,535,89.17,
716,,Xerneas,126,131,95,131,98,99,680,113.33,
717,,Yveltal,126,131,95,131,98,99,680,113.33,
718,,Zygarde (50% Forme),108,100,121,81,95,95,600,100,
718,,Zygarde (10% Forme),54,100,71,61,85,115,486,81,
718,,Zygarde (Complete Forme),216,100,121,91,95,85,708,118,
719,,Diancie,50,100,150,100,150,50,600,100,
719,,Diancie (Mega Diancie),50,160,110,160,110,110,700,116.67,
720,,Hoopa (Hoopa Confined),80,110,60,150,130,70,600,100,
720,,Hoopa (Hoopa Unbound),80,160,60,170,130,80,680,113.33,
721,,Volcanion,80,110,120,130,90,70,600,100,
724,,Decidueye,78,107,75,100,100,70,530,88.33,
724,,Decidueye (Hisuian Decidueye),88,112,80,95,95,60,530,88.33,
727,,Incineroar,95,115,90,80,90,60,530,88.33,
730,,Primarina,80,74,74,126,116,60,530,88.33,
733,,Toucannon,80,120,75,75,75,60,485,80.83,
735,,Gumshoos,88,110,60,55,60,45,418,69.67,
738,,Vikavolt,77,70,90,145,75,43,500,83.33,
740,,Crabominable,97,132,77,62,67,43,478,79.67,
741,,Oricorio,75,70,70,98,70,93,476,79.33,
743,,Ribombee,60,55,60,95,70,124,464,77.33,
745,,Lycanroc (Midday Form),75,115,65,55,65,112,487,81.17,
745,,Lycanroc (Midnight Form),85,115,75,55,75,82,487,81.17,
745,,Lycanroc (Dusk Form),75,117,65,55,65,110,487,81.17,
746,,Wishiwashi (Solo Form),45,20,20,25,25,40,175,29.17,
746,,Wishiwashi (School Form),45,140,130,140,135,30,620,103.33,
748,,Toxapex,50,63,152,53,142,35,495,82.5,
750,,Mudsdale,100,125,100,55,85,35,500,83.33,
752,,Araquanid,68,70,92,50,132,42,454,75.67,
754,,Lurantis,70,105,90,80,90,45,480,80,
756,,Shiinotic,60,45,80,90,100,30,405,67.5,
758,,Salazzle,68,64,60,111,60,117,480,80,
760,,Bewear,120,125,80,55,60,60,500,83.33,
763,,Tsareena,72,120,98,50,98,72,510,85,
764,,Comfey,51,52,90,82,110,100,485,80.83,
765,,Oranguru,90,60,80,90,110,60,490,81.67,
766,,Passimian,100,120,90,40,60,80,490,81.67,
768,,Golisopod,75,125,140,60,90,40,530,88.33,
770,,Palossand,85,75,110,100,75,35,480,80,
771,,Pyukumuku,55,60,130,30,130,5,410,68.33,
773,,Silvally,95,95,95,95,95,95,570,95,
774,,Minior (Meteor Form),60,60,100,60,100,60,440,73.33,
774,,Minior (Core),60,100,60,100,60,120,500,83.33,
775,,Komala,65,115,65,75,95,65,480,80,
776,,Turtonator,60,78,135,91,85,36,485,80.83,
777,,Togedemaru,65,98,63,40,73,96,435,72.5,
778,,Mimikyu,55,90,80,50,105,96,476,79.33,
779,,Bruxish,68,105,70,70,70,92,475,79.17,
780,,Drampa,78,60,85,135,91,36,485,80.83,
781,,Dhelmise,70,131,100,86,90,40,517,86.17,
784,,Kommo-o,75,110,125,100,105,85,600,100,
785,,Tapu Koko,70,115,85,95,75,130,570,95,
786,,Tapu Lele,70,85,75,130,115,95,570,95,
787,,Tapu Bulu,70,130,115,85,95,75,570,95,
788,,Tapu Fini,70,75,115,95,130,85,570,95,
791,,Solgaleo,137,137,107,113,89,97,680,113.33,
792,,Lunala,137,113,89,137,107,97,680,113.33,
793,,Nihilego,109,53,47,127,131,103,570,95,
794,,Buzzwole,107,139,139,53,53,79,570,95,
795,,Pheromosa,71,137,37,137,37,151,570,95,
796,,Xurkitree,83,89,71,173,71,83,570,95,
797,,Celesteela,97,101,103,107,101,61,570,95,
798,,Kartana,59,181,131,59,31,109,570,95,
799,,Guzzlord,223,101,53,97,53,43,570,95,
800,,Necrozma,97,107,101,127,89,79,600,100,
800,,Necrozma (Dusk Mane),97,157,127,113,109,77,680,113.33,
800,,Necrozma (Dawn Wings),97,113,109,157,127,77,680,113.33,
800,,Necrozma (Ultra Necrozma),97,167,97,167,97,129,754,125.67,
801,,Magearna,80,95,115,130,115,65,600,100,
802,,Marshadow,90,125,80,90,90,125,600,100,
804,,Naganadel,73,73,73,127,73,121,540,90,
805,,Stakataka,61,131,211,53,101,13,570,95,
806,,Blacephalon,53,127,53,151,79,107,570,95,
807,,Zeraora,88,112,75,102,80,143,600,100,
809,,Melmetal,135,143,143,80,65,34,600,100,
812,,Rillaboom,100,125,90,60,70,85,530,88.33,
815,,Cinderace,80,116,75,65,75,119,530,88.33,
818,,Inteleon,70,85,65,125,65,120,530,88.33,
820,,Greedent,120,95,95,55,75,20,460,76.67,
823,,Corviknight,98,87,105,53,85,67,495,82.5,
826,,Orbeetle,60,45,110,80,120,90,505,84.17,
828,,Thievul,70,58,58,87,92,90,455,75.83,
830,,Eldegoss,60,50,90,80,120,60,460,76.67,
832,,Dubwool,72,80,100,60,90,88,490,81.67,
834,,Drednaw,90,115,90,48,68,74,485,80.83,
836,,Boltund,69,90,60,90,60,121,490,81.67,
839,,Coalossal,110,80,120,80,90,30,510,85,
841,,Flapple,70,110,80,95,60,70,485,80.83,
842,,Appletun,110,85,80,100,80,30,485,80.83,
844,,Sandaconda,72,107,125,65,70,71,510,85,
845,,Cramorant,70,85,55,85,95,85,475,79.17,
847,,Barraskewda,61,123,60,60,50,136,490,81.67,
849,,Toxtricity (Amped Form),75,98,70,114,70,75,502,83.67,
849,,Toxtricity (Low Key Form),75,98,70,114,70,75,502,83.67,
851,,Centiskorch,100,115,65,90,90,65,525,87.5,
853,,Grapploct,80,118,90,70,80,42,480,80,
855,,Polteageist,60,65,65,134,114,70,508,84.67,
858,,Hatterene,57,90,95,136,103,29,510,85,
861,,Grimmsnarl,95,120,65,95,75,60,510,85,
862,,Obstagoon,93,90,101,60,81,95,520,86.67,
863,,Perrserker,70,110,100,50,60,50,440,73.33,
864,,Cursola,60,95,50,145,130,30,510,85,
865,,Sirfetch'd,62,135,95,68,82,65,507,84.5,
866,,Mr. Rime,80,85,75,110,100,70,520,86.67,
867,,Runerigus,58,95,145,50,105,30,483,80.5,
869,,Alcremie,65,60,75,110,121,64,495,82.5,
870,,Falinks,65,100,100,70,60,75,470,78.33,
871,,Pincurchin,48,101,95,91,85,15,435,72.5,
873,,Frosmoth,70,65,60,125,90,65,475,79.17,
874,,Stonjourner,100,125,135,20,20,70,470,78.33,
875,,Eiscue (Ice Face),75,80,110,65,90,50,470,78.33,
875,,Eiscue (Noice Face),75,80,70,65,50,130,470,78.33,
876,,Indeedee (Male),60,65,55,105,95,95,475,79.17,
876,,Indeedee (Female),70,55,65,95,105,85,475,79.17,
877,,Morpeko,58,95,58,70,58,97,436,72.67,
879,,Copperajah,122,130,69,80,69,30,500,83.33,
880,,Dracozolt,90,100,90,80,70,75,505,84.17,
881,,Arctozolt,90,100,90,90,80,55,505,84.17,
882,,Dracovish,90,90,100,70,80,75,505,84.17,
883,,Arctovish,90,90,100,80,90,55,505,84.17,
884,,Duraludon,70,95,115,120,50,85,535,89.17,
887,,Dragapult,88,120,75,100,75,142,600,100,
888,,Zacian (Hero of Many Battles),92,130,115,80,115,138,670,111.67,
888,,Zacian (Crowned Sword),92,170,115,80,115,148,720,120,
889,,Zamazenta (Hero of Many Battles),92,130,115,80,115,138,670,111.67,
889,,Zamazenta (Crowned Shield),92,130,145,80,145,128,720,120,
890,,Eternatus,140,85,95,145,95,130,690,115,
890,,Eternatus (Eternamax Eternatus),255,115,250,125,250,130,1125,187.5,
892,,Urshifu,100,130,100,63,60,97,550,91.67,
893,,Zarude,105,120,105,70,95,105,600,100,
894,,Regieleki,80,100,50,100,50,200,580,96.67,
895,,Regidrago,200,100,50,100,50,80,580,96.67,
896,,Glastrier,100,145,130,65,110,30,580,96.67,
897,,Spectrier,100,65,60,145,80,130,580,96.67,
898,,Calyrex,100,80,80,80,80,80,500,83.33,
898,,Calyrex (Ice Rider Calyrex),100,165,150,85,130,50,680,113.33,
898,,Calyrex (Shadow Rider Calyrex),100,85,80,165,100,150,680,113.33,
899,,Wyrdeer,103,105,72,105,75,65,525,87.5,
900,,Kleavor,70,135,95,45,70,85,500,83.33,
901,,Ursaluna,130,140,105,45,80,50,550,91.67,
902,,Basculegion (Male),120,112,65,80,75,78,530,88.33,
902,,Basculegion (Female),120,92,65,100,75,78,530,88.33,
903,,Sneasler,80,130,60,40,80,120,510,85,
904,,Overqwil,85,115,95,65,65,85,510,85,
905,,Enamorus (Incarnate Forme),74,115,70,135,80,106,580,96.67,
905,,Enamorus (Therian Forme),74,115,110,135,100,46,580,96.67,
