Ndex,Menu Sprite,English,Traditional,Simplified,Pinyin,Yale
329,,Vibrava,超音波幼蟲,超音波幼虫,Chāoyīnbōyòuchóng,Chīuyāmbōyauchùhng
330,,Flygon,沙漠蜻蜓,沙漠蜻蜓,Shāmòqīngtíng,Sāmohkchīngtìhng
331,,Cacnea,刺球仙人掌,刺球仙人掌,Cìqiúxiānrénzhǎng,Chikàuhsīnyàhnjéung
332,,Cacturne,夢歌仙人掌,梦歌仙人掌,Mènggēxiānrénzhǎng,Mùhnggōsīnyàhnjéung
333,,Swablu,青綿鳥,青绵鸟,Qīngmiánniǎo,Chīngmìhnníuh
334,,Altaria,七夕青鳥,七夕青鸟,Qīxìqīngniǎo,Chātjihkchīngníuh
335,,Zangoose,貓鼬斬,猫鼬斩,Māoyòuzhǎn,Māauyauhjáam
336,,Seviper,飯匙蛇,饭匙蛇,Fànchíshé,Faahnchìhsèh
337,,Lunatone,月石,月石,Yuèshí,Yuhtsehk
338,,Solrock,太陽岩,太阳岩,Tàiyángyán,Taaiyèuhngngàahm
339,,Barboach,泥泥鰍,泥泥鳅,Níníqiū,Nàihnàihchāu
340,,Whiscash,鯰魚王,鲶鱼王,Niányúwáng,Níhmyùhwòhng
341,,Corphish,龍蝦小兵,龙虾小兵,Lóngxiāxiǎobīng,Lùhnghāsíubīng
342,,Crawdaunt,鐵螯龍蝦,铁螯龙虾,Tiě'áolóngxiā,Titngòuhlùhng'hā
343,,Baltoy,天秤偶,天秤偶,Tiānpíng'ǒu,Tīnpìhngngáuh
344,,Claydol,念力土偶,念力土偶,Niànlìtǔ'ōu,Nihmlihktóu'ngáuh
345,,Lileep,觸手百合,触手百合,Chùshǒubǎihé,Jūksáubaakhahp
346,,Cradily,搖籃百合,摇篮百合,Yáolánbǎihé,Yìuhlàahmbaakhahp
347,,Anorith,太古羽蟲,太古羽虫,Tàigǔyǔchóng,Taaigúyúhchùhng
348,,Armaldo,太古盔甲,太古盔甲,Tàigǔkuījiǎ,Taaigúkwāigaap
349,,Feebas,醜醜魚,丑丑鱼,Chǒuchǒuyú,Cháucháuyùh
350,,Milotic,美納斯,美纳斯,Měinàsī,Méihnaahpsī
351,,Castform,飄浮泡泡,飘浮泡泡,Piāofúpàopào,Pīufàuhpóuhpóuh
352,,Kecleon,變隱龍,变隐龙,Biànyǐnlóng,Binyánlùhng
353,,Shuppet,怨影娃娃,怨影娃娃,Yuànyǐngwáwá,Yunyíngwāwā
354,,Banette,詛咒娃娃,诅咒娃娃,Zǔzhòuwáwá,Jojauwāwā
355,,Duskull,夜巡靈,夜巡灵,Yèxúnlíng,Yehchèuhnlìhng
356,,Dusclops,彷徨夜靈,彷徨夜灵,Fǎnghuángyèlíng,Pòhngwòhngyehlìhng
357,,Tropius,熱帶龍,热带龙,Rèdàilóng,Yihtdaailùhng
358,,Chimecho,風鈴鈴,风铃铃,Fēnglínglíng,Fūnglìhnglìhng
359,,Absol,阿勃梭魯,阿勃梭鲁,Ābósuōlǔ,Abuhtsōlóuh
360,,Wynaut,小果然,小果然,Xiǎoguǒrán,Síugwóyìhn
361,,Snorunt,雪童子,雪童子,Xuětóngzǐ,Syuttùhngjí
362,,Glalie,冰鬼護,冰鬼护,Bīngguǐhù,Bīnggwáiwuh
363,,Spheal,海豹球,海豹球,Hǎibàoqiú,Hóipaaukàuh
364,,Sealeo,海魔獅,海魔狮,Hǎimóshī,Hóimōsī
365,,Walrein,帝牙海獅,帝牙海狮,Dìyǎhǎishī,Dai'ngàhhóisī
366,,Clamperl,珍珠貝,珍珠贝,Zhēnzhūbèi,Jānjyūbui
367,,Huntail,獵斑魚,猎斑鱼,Lièbānyú,Lihpbāanyùh
368,,Gorebyss,櫻花魚,樱花鱼,Yīnghuāyú,Yīngfāyùh
369,,Relicanth,古空棘魚,古空棘鱼,Gǔkōngjíyú,Gúhūnggīk'yùh
370,,Luvdisc,愛心魚,爱心鱼,Àixīnyú,Oisām'yùh
371,,Bagon,寶貝龍,宝贝龙,Bǎobèilóng,Bóubuilùhng
372,,Shelgon,甲殼龍,甲壳龙,Jiákēlóng,Gaaphoklùhng
373,,Salamence,暴飛龍,暴飞龙,Bàofēilóng,Bouhfēilùhng
374,,Beldum,鐵啞鈴,铁哑铃,Tiéyǎlíng,Tit'álìhng
375,,Metang,金屬怪,金属怪,Jīnshǔguài,Gāmsuhkgwaai
376,,Metagross,巨金怪,巨金怪,Jùjīnguài,Geuihgāmgwaai
377,,Regirock,雷吉洛克,雷吉洛克,Léijīluòkě,Lèuihgātlokhāk
378,,Regice,雷吉艾斯,雷吉艾斯,Léijī'àisī,Lèuihgātngaaihsī
379,,Registeel,雷吉斯奇魯,雷吉斯奇鲁,Léijīsīqílù,Lèuihgātsīkèihlóuh
380,,Latias,拉帝亞斯,拉帝亚斯,Lādìyǎsī;,
"Lādìyāsī""",Lāaidai'asī,,,,,
381,,Latios,拉帝歐斯,拉帝欧斯,Lādì'ōusī,Lāaidai'āusī
382,,Kyogre,蓋歐卡,盖欧卡,Gài'ōukǎ,Koi'āukā
383,,Groudon,固拉多,固拉多,Gūlādūo,Gulāaidō
384,,Rayquaza,烈空坐,烈空坐,Lièkōngzuò,Lihthūngjoh
385,,Jirachi,基拉祈,基拉祈,Jīlāqí,Gēilāaikèih
386,,Deoxys,代歐奇希斯,代欧奇希斯,Dài'ōuqíxīsī,Doih'āukèihhēisī
387,,Turtwig,草苗龜,草苗龟,Cǎomiáoguī,Chóumìuhgwāi
388,,Grotle,樹林龜,树林龟,Shùlínguī,Syuhlàhmgwāi
389,,Torterra,土台龜,土台龟,Tǔtáiguī,Tóutòihgwāi
390,,Chimchar,小火焰猴,小火焰猴,Xiǎohuǒyànhóu,Síufóyihmhàuh
391,,Monferno,猛火猴,猛火猴,Měnghuǒhóu,Máahngfóhàuh
392,,Infernape,烈焰猴,烈焰猴,Lièyànhóu,Lihtyihmhàuh
393,,Piplup,波加曼,波加曼,Bōjiāmàn,Bōgāmaahn
394,,Prinplup,波皇子,波皇子,Bōwángzǐ,Bōwòhngjí
395,,Empoleon,帝王拿波,帝王拿波,Dìwángnábō,Daiwòhngnàhbō
396,,Starly,姆克兒,姆克儿,Mǔkè'ér,Móuhhākyìh
397,,Staravia,姆克鳥,姆克鸟,Mǔkèniǎo,Móuhhākníuh
398,,Staraptor,姆克鷹,姆克鹰,Mǔkèyīng,Móuhhākyīng
399,,Bidoof,大牙狸,大牙狸,Dàyálí,Daaihngàhlèih
400,,Bibarel,大尾狸,大尾狸,Dàwěilí,Daaihméihlèih
401,,Kricketot,圓法師,圆法师,Yuánfǎshī,Yùhnfaatsī
402,,Kricketune,音箱蟀,音箱蟀,Yīnxiāngshuài,Yāmsēungsēut
403,,Shinx,小貓怪,小猫怪,Xiǎomāoguài,Síumāaugwaai
404,,Luxio,勒克貓,勒克猫,Lèkèmāo,Lahkhākmāau
405,,Luxray,倫琴貓,伦琴猫,Lúnqínmāo,Lèuhnkàhmmāau
406,,Budew,含羞苞,含羞苞,Hánxiūbāo,Hàhmsāubāau
407,,Roserade,羅絲雷朵,罗丝雷朵,Luósīléiduǒ,Lòhsīlèuidó
408,,Cranidos,頭蓋龍,头盖龙,Tóugàilóng,Tàuhgoilùhng
409,,Rampardos,戰槌龍,战槌龙,Zhànchuílóng,Jinchèuihlùhng
410,,Shieldon,盾甲龍,盾甲龙,Dùnjiǎlóng,Téuhngaaplùhng
411,,Bastiodon,護城龍,护城龙,Hùchénglóng,Wuhsìhnglùhng
412,,Burmy,結草兒,结草儿,Jiécǎo'ér,Gitchóuyìh
413,,Wormadam,結草貴婦,结草贵妇,Jiécǎoguìfù,Gitchóugwaifúh
414,,Mothim,紳士蛾,绅士蛾,Shēnshì'é,Sānsíngòh
415,,Combee,三蜜蜂,三蜜蜂,Sānmìfēng,Sāammahtfūng
416,,Vespiquen,蜂女王,蜂女王,Fēngnǚwáng,Fūngnéuihwòhng
417,,Pachirisu,帕奇利茲,帕奇利兹,Pàqílìzī,Paakkèileihjī
418,,Buizel,泳圈鼬,泳圈鼬,Yǒngquānyòu,Wihnghyūnyauh
419,,Floatzel,浮潛鼬,浮潜鼬,Fúqiǎnyòu,Fàuhchìhmyauh
420,,Cherubi,櫻花寶,樱花宝,Yīnghuābǎo,Yīngfābóu
421,,Cherrim,櫻花兒,樱花儿,Yīnghuā'ér,Yīngfāyìh
422,,Shellos,無殼海兔,无壳海兔,Wúkéhǎitù,Mòuhhokhóitou
423,,Gastrodon,海兔獸,海兔兽,Hǎitùshòu,Hóitousau
424,,Ambipom,雙尾怪手,双尾怪手,Shuāngwěiguàishǒu,Sēungméihgwaaisáu
425,,Drifloon,飄飄球,飘飘球,Piāopiāoqiú,Pīupīukàuh
426,,Drifblim,隨風球,随风球,Suífēngqiú,Chèuihfūngkàuh
427,,Buneary,捲捲耳,卷卷耳,Juǎnjuǎn'ěr,Gyúngyún'yíh
428,,Lopunny,長耳兔,长耳兔,Cháng'ěrtù,Chèuhngyíhtou
429,,Mismagius,夢妖魔,梦妖魔,Mèngyāomó,Muhngyíumō
430,,Honchkrow,烏鴉頭頭,乌鸦头头,Wūyātóutóu,Wū'ātàuhtàuh
431,,Glameow,魅力喵,魅力喵,Mèilìmiāo,Meihlihkmēu
432,,Purugly,東施喵,东施喵,Dōngshīmiāo,Dūngsīmēu
433,,Chingling,鈴鐺響,铃铛响,Língdāngxiǎng,Lìhngdōnghéung
434,,Stunky,臭鼬噗,臭鼬噗,Chòuyòupū,Chauyauhpok
435,,Skuntank,坦克臭鼬,坦克臭鼬,Tǎnkèchòuyòu,Táanhākchauyauh
436,,Bronzor,銅鏡怪,铜镜怪,Tóngjìngguài,Tùhnggenggwaai
437,,Bronzong,青銅鐘,青铜钟,Qīngtóngzhōng,Chīngtùhngjūng
438,,Bonsly,盆才怪,盆才怪,Péncáiguài,Pùhnchòihgwaai
439,,Mime Jr.,魔尼尼,魔尼尼,Móníní,Mōnèihnèih
440,,Happiny,小福蛋,小福蛋,Xiǎofúdàn,Síufūkdáan
441,,Chatot,聒噪鳥,聒噪鸟,Guāzàoniǎo,Kutchouníuh
442,,Spiritomb,花岩怪,花岩怪,Huāyánguài,Fā'ngàahmgwaai
443,,Gible,圓陸鯊,圆陆鲨,Yuánlùshā,Yùhnluhksā
444,,Gabite,尖牙陸鯊,尖牙陆鲨,Jiānyálùshā,Jīmngàhluhksā
445,,Garchomp,烈咬陸鯊,烈咬陆鲨,Lièyǎolùshā,Lihtngáauhluhksā
446,,Munchlax,小卡比獸,小卡比兽,Xiǎokǎbǐshòu,Síukābéisau
447,,Riolu,利歐路,利欧路,Lì'ōulù,Leih'āulouh
448,,Lucario,路卡利歐,路卡利欧,Lùkǎlì'ōu,Louhkāleih'āu
449,,Hippopotas,沙河馬,沙河马,Shāhémǎ,Sāhòhmáh
450,,Hippowdon,河馬獸,河马兽,Hémǎshòu,Hòhmáhsau
451,,Skorupi,鉗尾蠍,钳尾蝎,Qiánwěixiē,Kìhmméihkit
452,,Drapion,龍王蠍,龙王蝎,Lóngwángxiē,Lùhngwòhngkit
453,,Croagunk,不良蛙,不良蛙,Bùliángwā,Bātlèuhngwā
454,,Toxicroak,毒骷蛙,毒骷蛙,Dúkūwā,Duhkfūwā
455,,Carnivine,尖牙籠,尖牙笼,Jiānyálóng,Jīmngàhlùhng
456,,Finneon,螢光魚,荧光鱼,Yíngguāngyú,Yìhnggwōngyùh
457,,Lumineon,霓虹魚,霓虹鱼,Níhóngyú,Ngàihhùhng'yùh
458,,Mantyke,小球飛魚,小球飞鱼,Xiǎoqiúfēiyú,Síukàuhfēiyùh
459,,Snover,雪笠怪,雪笠怪,Xuělìguài,Syutlāpgwaai
460,,Abomasnow,暴雪王,暴雪王,Bàoxuěwáng,Bouhsyutwòhng
461,,Weavile,瑪狃拉,玛狃拉,Mǎniǔlā,Máhnáulāai
462,,Magnezone,自爆磁怪,自爆磁怪,Zìbàocíguài,Jihbaauchìhgwaai
463,,Lickilicky,大舌舔,大舌舔,Dàshétiǎn,Daaisittím
464,,Rhyperior,超甲狂犀,超甲狂犀,Chāojiǎkuángxī,Chīugaapkwòhngsāi
465,,Tangrowth,巨蔓藤,巨蔓藤,Jùmànténg,Geuihmaahntàhng
466,,Electivire,電擊魔獸,电击魔兽,Diànjímóshòu,Dihngīkmōsau
467,,Magmortar,鴨嘴炎獸,鸭嘴炎兽,Yāzuǐyánshòu,Aapjéuiyìhmsau
468,,Togekiss,波克基斯,波克基斯,Bōkèjīsī,Bōhākgēisī
469,,Yanmega,遠古巨蜓,远古巨蜓,Yuǎngǔjùtíng,Yúhngúgeuihtìhng
470,,Leafeon,葉伊布,叶伊布,Yèyībù,Yihpyìhbou
471,,Glaceon,冰伊布,冰伊布,Bīngyībù,Bīngyìhbou
472,,Gliscor,天蠍王,天蝎王,Tiānxiēwáng,Tīnkitwòhng
473,,Mamoswine,象牙豬,象牙猪,Xiàngyázhū,Jeuhngngàhjyū
474,,Porygon-Z,多邊獸Ｚ,多边兽乙型,Duōbiānshòu-Z;,
"Duōbiānshòu Yǐxíng""",Dōbīnsau-Z,,,,,
475,,Gallade,艾路雷朵,艾路雷朵,Àilùléiduǒ,Ngaaihlouhlèuidó
476,,Probopass,大朝北鼻,大朝北鼻,Dàcháoběibí,Daaichìuhbākbeih
477,,Dusknoir,黑夜魔靈,黑夜魔灵,Hēiyèmólíng,Hākyehmōlìhng
478,,Froslass,雪妖女,雪妖女,Xuěyāonǚ,Syutyíunéuih
479,,Rotom,洛托姆,洛托姆,Luòtuōmǔ,Loktokmóuh
480,,Uxie,由克希,由克希,Yóukèxī,Yàuhhākhēi
481,,Mesprit,艾姆利多,艾姆利多,Àimǔlìduō,Ngaaihmóuhleihdō
482,,Azelf,亞克諾姆,亚克诺姆,Yǎkènuòmǔ;,
"Yàkènuòmǔ""",Ahāknohkmóuh,,,,,
483,,Dialga,帝牙盧卡,帝牙卢卡,Dìyálúkǎ,Daingàhlòuhkā
484,,Palkia,帕路奇亞,帕路奇亚,Pàlùqíyǎ;,
"Pàlùqíyà""",Paaklouhkèi'a,,,,,
485,,Heatran,席多藍恩,席多蓝恩,Xíduōlán'ēn,Jihkdōlàahm'yān
486,,Regigigas,雷吉奇卡斯,雷吉奇卡斯,Léijíqíkǎsī,Lèuihgātkèikāsī
487,,Giratina,騎拉帝納,骑拉帝纳,Qílādìnà,Kèihlāaidainaahp
488,,Cresselia,克雷色利亞,克雷色利亚,Kèléisèlìyǎ;,
"Kèléisèlìyà""",Hāklèuihsīkleih'a,,,,,
489,,Phione,霏歐納,霏欧纳,Fēi'ōunà,Fēi'āunaahp
490,,Manaphy,瑪納霏,玛纳霏,Mǎnàfēi,Máhnaahpfēi
491,,Darkrai,達克萊伊,达克莱伊,Dákèláiyī,Daahthāklòihyī
492,,Shaymin,謝米,谢米,Xièmǐ,Jehmáih
493,,Arceus,阿爾宙斯,阿尔宙斯,Ā'ěrzhòusī,Ayíhjauhsī
494,,Victini,比克提尼,比克提尼,Bǐkètíní,Béihāktàihnèi
495,,Snivy,藤藤蛇,藤藤蛇,Téngténgshé,Tàhngtàhngsèh
496,,Servine,青藤蛇,青藤蛇,Qīngténgshé,Chīngtàhngsèh
497,,Serperior,君主蛇,君主蛇,Jūnzhǔshé,Gwānjyúhsèh
498,,Tepig,暖暖豬,暖暖猪,Nuǎnnuǎnzhū,Nyúhnnyúhnjyū
499,,Pignite,炒炒豬,炒炒猪,Chǎochǎozhū,Cháaucháaujyū
500,,Emboar,炎武王,炎武王,Yánwǔwáng,Yìhmmóuhwòhng
501,,Oshawott,水水獺,水水獭,Shuǐshuǐtà;,
"Shuǐshuǐtǎ""",Séuiséuichaat,,,,,
502,,Dewott,雙刃丸,双刃丸,Shuāngrènwán,Sēungyahnyún
503,,Samurott,大劍鬼,大剑鬼,Dàjiànguǐ,Daaihgimgwái
504,,Patrat,探探鼠,探探鼠,Tàntànshǔ,Tāamtāamsyú
505,,Watchog,步哨鼠,步哨鼠,Bùshàoshǔ,Bouhsaausyú
506,,Lillipup,小約克,小约克,Xiǎoyuēkè,Síuyeukhāk
507,,Herdier,哈約克,哈约克,Hāyuēkè,Hāyeukhāk
508,,Stoutland,長毛狗,长毛狗,Chángmáogǒu,Chèuhngmòugáu
509,,Purrloin,扒手貓,扒手猫,Páshǒumāo,Pàhsáumāau
510,,Liepard,酷豹,酷豹,Kùbào,Huhkpaau
511,,Pansage,花椰猴,花椰猴,Huāyéhóu,Fāyèhhàuh
512,,Simisage,花椰猿,花椰猿,Huāyéyuán,Fāyèhyùhn
513,,Pansear,爆香猴,爆香猴,Bàoxiānghóu,Baauhēunghàuh
514,,Simisear,爆香猿,爆香猿,Bàoxiāngyuán,Baauhēungyùhn
515,,Panpour,冷水猴,冷水猴,Lěngshuǐhóu,Láahngséuihàuh
516,,Simipour,冷水猿,冷水猿,Lěngshuǐyuán,Láahngséuiyùhn
517,,Munna,食夢夢,食梦梦,Shímèngmèng,Sihkmuhngmuhng
518,,Musharna,夢夢蝕,梦梦蚀,Mèngmèngshí,Muhngmuhngsihk
519,,Pidove,豆豆鴿,豆豆鸽,Dòudòugē,Dauhdauhgap
520,,Tranquill,咕咕鴿,咕咕鸽,Gūgūgē,Gūgūgap
521,,Unfezant,高傲雉雞,高傲雉鸡,Gāo'àozhìjī,Gōungouhjihgāi
522,,Blitzle,斑斑馬,斑斑马,Bānbānmǎ,Bāanbāanmáh
523,,Zebstrika,雷電斑馬,雷电斑马,Léidiànbānmǎ,Lèuihdihnbāanmáh
524,,Roggenrola,石丸子,石丸子,Shíwánzi,Sehkyúnjí
525,,Boldore,地幔岩,地幔岩,Dìmànyán,Deihmaahnngàahm
526,,Gigalith,龐岩怪,庞岩怪,Pángyánguài,Pòhngngàahmgwaai
527,,Woobat,滾滾蝙蝠,滚滚蝙蝠,Gǔngǔnbiānfú,Gwángwánpīnfūk
528,,Swoobat,心蝙蝠,心蝙蝠,Xīnbiānfú,Sāmpīnfūk
529,,Drilbur,螺釘地鼠,螺钉地鼠,Luódīngdìshǔ,Lòhdēngdeihsyú
530,,Excadrill,龍頭地鼠,龙头地鼠,Lóngtóudìshǔ,Lùhngtàudeihsyú
531,,Audino,差不多娃娃,差不多娃娃,Chàbùduōwáwá,Chābātdōwāwā
532,,Timburr,搬運小匠,搬运小匠,Bānyùnxiǎojiàng,Būnwahnsíujeuhng
533,,Gurdurr,鐵骨土人,铁骨土人,Tiěgǔtǔrén,Titgwāttóuyàhn
534,,Conkeldurr,修建老匠,修建老匠,Xiūjiànlǎojiàng,Sāuginlóuhjeuhng
535,,Tympole,圓蝌蚪,圆蝌蚪,Yuánkēdǒu,Yùhnfōdáu
536,,Palpitoad,藍蟾蜍,蓝蟾蜍,Lánchánchú,Làahmsìhmsyùh
537,,Seismitoad,蟾蜍王,蟾蜍王,Chánchúwáng,Sìhmsyùhwòhng
538,,Throh,投摔鬼,投摔鬼,Tóushuāiguǐ,Tàuhsēutgwái
539,,Sawk,打擊鬼,打击鬼,Dǎjíguǐ;,
"Dǎjīguǐ""",Dágīkgwái,,,,,
540,,Sewaddle,蟲寶包,虫宝包,Chóngbǎobāo,Chùhngbóubāau
541,,Swadloon,寶包繭,宝包茧,Bǎobāojiǎn,Bóubāaugáan
542,,Leavanny,保母蟲,保姆虫,Bǎomǔchóng,Bóumóuhchùhng
543,,Venipede,百足蜈蚣,百足蜈蚣,Bǎizúwúgōng,Baakjūknghgūng
544,,Whirlipede,車輪毬,车轮球,Chēlúnqiú,Chēlèuhnkàuh
545,,Scolipede,蜈蚣王,蜈蚣王,Wúgōngwáng,Nghgūngwòhng
546,,Cottonee,木棉球,木棉球,Mùmiánqiú,Muhkmìhnkàuh
547,,Whimsicott,風妖精,风妖精,Fēngyāojing,Fūngyíujīng
548,,Petilil,百合根娃娃,百合根娃娃,Bǎihégēnwáwá,Baakhahpgānwāwā
549,,Lilligant,裙兒小姐,裙儿小姐,Qún'érxiǎojiě,Kwàhnyìhsíujé
550,,Basculin,野蠻鱸魚,野蛮鲈鱼,Yěmánlúyú,Yéhmàahnlòuhyùh
551,,Sandile,黑眼鱷,黑眼鳄,Hēiyǎn'è,Hākngáahnngohk
552,,Krokorok,混混鱷,混混鳄,Hùnhun'è,Wahnwahnngohk
553,,Krookodile,流氓鱷,流氓鳄,Liúmáng'è,Làuhmàhnngohk
554,,Darumaka,火紅不倒翁,火红不倒翁,Huǒhóngbùdǎowēng,Fóhùhngbātdóuyūng
555,,Darmanitan,達摩狒狒,达摩狒狒,Dámófèifèi,Daahtmōfātfāt
556,,Maractus,沙鈴仙人掌,沙铃仙人掌,Shālíngxiānrénzhǎng,Sālìhngsīnyàhnjéung
557,,Dwebble,石居蟹,石居蟹,Shíjūxiè,Sehkgēuiháaih
558,,Crustle,岩殿居蟹,岩殿居蟹,Yándiànjūxiè,Ngàahmdihngēuiháaih
559,,Scraggy,滑滑小子,滑滑小子,Huáhuáxiǎozi,Waahtwaahtsíují
560,,Scrafty,頭巾混混,头巾混混,Tóujīnhùnhun,Tàuhgānwahnwahn
561,,Sigilyph,象徵鳥,象征鸟,Xiàngzhēngniǎo,Jeuhngjīngníuh
562,,Yamask,哭哭面具,哭哭面具,Kūkūmiànjù,Hūkhūkmihngeuih
563,,Cofagrigus,死神棺,迭失棺,Sǐshénguān;,
"Diéshīguān""",Séisàhngūn,,,,,
564,,Tirtouga,原蓋海龜,原盖海龟,Yuángàihǎiguī,Yùhngoihóigwāi
565,,Carracosta,肋骨海龜,肋骨海龟,Lèigǔhǎiguī,Lahkgwāthóigwāi
566,,Archen,始祖小鳥,始祖小鸟,Shǐzǔxiǎoniǎo,Chíjóusíuníuh
567,,Archeops,始祖大鳥,始祖大鸟,Shǐzǔdàniǎo,Chíjóudaaihníuh
568,,Trubbish,破破袋,破破袋,Pòpòdài,Popodoih
569,,Garbodor,灰塵山,灰尘山,Huīchénshān,Fūichàhnsāan
570,,Zorua,索羅亞,索罗亚,Suǒluóyǎ;,
"Suǒluóyà""",Soklòh'a,,,,,
571,,Zoroark,索羅亞克,索罗亚克,Suǒluóyǎkè;,
"Suǒluóyàkè""",Soklòh'ahāk,,,,,
572,,Minccino,泡沫栗鼠,泡沫栗鼠,Pàomòlìshǔ,Póuhmutleuhtsyú
573,,Cinccino,奇諾栗鼠,奇诺栗鼠,Qínuòlìshǔ,Kèinohkleuhtsyú
574,,Gothita,哥德寶寶,哥德宝宝,Gēdébǎobao,Gōdākbóubóu
575,,Gothorita,哥德小童,哥德小童,Gēdéxiǎotóng,Gōdāksíutùhng
576,,Gothitelle,哥德小姐,哥德小姐,Gēdéxiǎojiě,Gōdāksíujé
577,,Solosis,單卵細胞球,单卵细胞球,Dānluǎnxìbāoqiú,Dāanléuhnsaibāaukàuh
578,,Duosion,雙卵細胞球,双卵细胞球,Shuāngluǎnxìbāoqiú,Sēungléuhnsaibāaukàuh
579,,Reuniclus,人造細胞卵,人造细胞卵,Rénzàoxìbāoluǎn,Yàhnjouhsaibāauléuhn
580,,Ducklett,鴨寶寶,鸭宝宝,Yābǎobao,Aapbóubóu
581,,Swanna,舞天鵝,舞天鹅,Wǔtiān'é,Móuhtīnngòh
582,,Vanillite,迷你冰,迷你冰,Mínǐbīng,Màihnéihbīng
583,,Vanillish,多多冰,多多冰,Duōduōbīng,Dōdōbīng
584,,Vanilluxe,雙倍多多冰,双倍多多冰,Shuāngbèiduōduōbīng,Sēungpúihdōdōbīng
585,,Deerling,四季鹿,四季鹿,Sìjìlù,Seigwailúk
586,,Sawsbuck,萌芽鹿,萌芽鹿,Méngyálù,Màhngngàhlúk
587,,Emolga,電飛鼠,电飞鼠,Diànfēishǔ,Dihnfēisyú
588,,Karrablast,蓋蓋蟲,盖盖虫,Gàigàichóng,Goigoichùhng
589,,Escavalier,騎士蝸牛,骑士蜗牛,Qíshìguāniú;,
"Qíshìwōniú""",Kèihsihwō'ngàuh,,,,,
590,,Foongus,哎呀球菇,哎呀球菇,Āiyāqiúgū,Āaiyākàuhgū
591,,Amoonguss,敗露球菇,败露球菇,Bàilùqiúgū,Baaihlouhkàuhgū
592,,Frillish,輕飄飄,轻飘飘,Qīngpiāopiāo,Hīngpīupīu
593,,Jellicent,胖嘟嘟,胖嘟嘟,Pàngdūdū,Buhndyūtdyūt
594,,Alomomola,保母曼波,保姆曼波,Bǎomǔmànbō,Bóumóuhmaahnbō
595,,Joltik,電電蟲,电电虫,Diàndiànchóng,Dihndihnchùhng
596,,Galvantula,電蜘蛛,电蜘蛛,Diànzhīzhū,Dihnjījyū
597,,Ferroseed,種子鐵球,种子铁球,Zhǒngzǐtiěqiú,Júngjítitkàuh
598,,Ferrothorn,堅果啞鈴,坚果哑铃,Jiānguǒyǎlíng,Gīngwó'álìhng
599,,Klink,齒輪兒,齿轮儿,Chǐlún'ér,Chílèuhn'yìh
600,,Klang,齒輪組,齿轮组,Chǐlúnzǔ,Chílèuhnjóu
601,,Klinklang,齒輪怪,齿轮怪,Chǐlúnguài,Chílèuhn'gwaai
602,,Tynamo,麻麻小魚,麻麻小鱼,Mámáxiǎoyú,Màhmàhsíuyùh
603,,Eelektrik,麻麻鰻,麻麻鳗,Mámámán,Màhmàhmàahn
604,,Eelektross,麻麻鰻魚王,麻麻鳗鱼王,Mámámányúwáng,Màhmàhmàahnyùhwòhng
605,,Elgyem,小灰怪,小灰怪,Xiǎohuīguài,Síufūigwaai
606,,Beheeyem,大宇怪,大宇怪,Dàyǔguài,Daaihyúhgwaai
607,,Litwick,燭光靈,烛光灵,Zhúguānglíng,Jūkgwōnglìhng
608,,Lampent,燈火幽靈,灯火幽灵,Dēnghuǒyōulíng,Dāngfóyāulìhng
609,,Chandelure,水晶燈火靈,水晶灯火灵,Shuǐjīngdēnghuǒlíng,Séuijīngdāngfólìhng
610,,Axew,牙牙,牙牙,Yáyá,Ngàhngàh
611,,Fraxure,斧牙龍,斧牙龙,Fǔyálóng,Fúngàhlùhng
612,,Haxorus,雙斧戰龍,双斧战龙,Shuāngfǔzhànlóng,Sēungfújinlùhng
613,,Cubchoo,噴嚏熊,喷嚏熊,Pēntìxióng,Pantaihùhng
614,,Beartic,凍原熊,冻原熊,Dòngyuánxióng,Dungyúhnhùhng
615,,Cryogonal,幾何雪花,几何雪花,Jǐhéxuěhuā,Géihòhsyutfā
616,,Shelmet,小嘴蝸,小嘴蜗,Xiǎozuǐguā;,
"Xiǎozuǐwō""",Síujéuiwō,,,,,
617,,Accelgor,敏捷蟲,敏捷虫,Mǐnjiéchóng,Máhnjihtchùhng
618,,Stunfisk,泥巴魚,泥巴鱼,Níbāyú,Nàihbāyùh
619,,Mienfoo,功夫鼬,功夫鼬,Gōngfuyòu,Gūngfùhyauh
620,,Mienshao,師父鼬,师父鼬,Shīfuyòu,Sīfúyauh
621,,Druddigon,赤面龍,赤面龙,Chìmiànlóng,Chekmihnlùhng
622,,Golett,泥偶小人,泥偶小人,Ní'ǒuxiǎorén,Nàihngáuhsíuyàhn
623,,Golurk,泥偶巨人,泥偶巨人,Ní'ǒujùrén,Nàingáuhgeuihyàhn
624,,Pawniard,駒刀小兵,驹刀小兵,Jūdāoxiǎobīng,Kēuidōusíubīng
625,,Bisharp,劈斬司令,劈斩司令,Pīzhǎnsīlìng,Pekjáamsīlihng
626,,Bouffalant,爆炸頭水牛,爆炸头水牛,Bàozhàtóushuǐniú,Baaujatàuhséuingàuh
627,,Rufflet,毛頭小鷹,毛头小鹰,Máotóuxiǎoyīng,Mòuhtàuhsíuyīng
628,,Braviary,勇士雄鷹,勇士雄鹰,Yǒngshìxióngyīng,Yúhngsihhùhngyīng
629,,Vullaby,禿鷹丫頭,秃鹰丫头,Tūyīngyātou,Tūkyīng'ātàuh
