Ndex,Menu Sprite,English,Kana,Hepburn,Trademarked
516,,Simipour,ヒヤッキー,Hiyakkī,Hiyakkie
517,,Munna,ムンナ,Munna,Munna
518,,Musharna,ムシャーナ,Mushāna,Musharna
519,,Pidove,マメパト,Mamepato,Mamepato
520,,Tranquill,ハトーボー,Hatōbō,Hatoboh
521,,Unfezant,ケンホロウ,Kenhorō,Kenhallow
522,,Blitzle,シママ,Shimama,Shimama
523,,Zebstrika,ゼブライカ,Zeburaika,Zebraika
524,,Roggenrola,ダンゴロ,Dangoro,Dangoro
525,,Boldore,ガントル,Gantoru,Gantle
526,,Gigalith,ギガイアス,Gigaiasu,Gigaiath
527,,Woobat,コロモリ,Koromori,Koromori
528,,Swoobat,ココロモリ,Kokoromori,Kokoromori
529,,Drilbur,モグリュー,Moguryū,Mogurew
530,,Excadrill,ドリュウズ,Doryūzu,Doryuzu
531,,Audino,タブンネ,Tabunne,Tabunne
532,,Timburr,ドッコラー,Dokkorā,Dokkorer
533,,Gurdurr,ドテッコツ,Dotekkotsu,Dotekkotsu
534,,Conkeldurr,ローブシン,Rōbushin,Roubushin
535,,Tympole,オタマロ,Otamaro,Otamaro
536,,Palpitoad,ガマガル,Gamagaru,Gamagaru
537,,Seismitoad,ガマゲロゲ,Gamageroge,Gamageroge
538,,Throh,ナゲキ,Nageki,Nageki
539,,Sawk,ダゲキ,Dageki,Dageki
540,,Sewaddle,クルミル,Kurumiru,Kurumiru
541,,Swadloon,クルマユ,Kurumayu,Kurumayu
542,,Leavanny,ハハコモリ,Hahakomori,Hahakomori
543,,Venipede,フシデ,Fushide,Fushide
544,,Whirlipede,ホイーガ,Hoīga,Wheega
545,,Scolipede,ペンドラー,Pendorā,Pendror
546,,Cottonee,モンメン,Monmen,Monmen
547,,Whimsicott,エルフーン,Erufūn,Elfuun
548,,Petilil,チュリネ,Churine,Churine
549,,Lilligant,ドレディア,Doredia,Dredear
550,,Basculin,バスラオ,Basurao,Bassrao
551,,Sandile,メグロコ,Meguroko,Meguroco
552,,Krokorok,ワルビル,Warubiru,Waruvile
553,,Krookodile,ワルビアル,Warubiaru,Waruvial
554,,Darumaka,ダルマッカ,Darumakka,Darumakka
555,,Darmanitan,ヒヒダルマ,Hihidaruma,Hihidaruma
556,,Maractus,マラカッチ,Marakatchi,Maracacchi
557,,Dwebble,イシズマイ,Ishizumai,Ishizumai
558,,Crustle,イワパレス,Iwaparesu,Iwapalace
559,,Scraggy,ズルッグ,Zuruggu,Zuruggu
560,,Scrafty,ズルズキン,Zuruzukin,Zuruzukin
561,,Sigilyph,シンボラー,Shinborā,Symboler
562,,Yamask,デスマス,Desumasu,Desumasu
563,,Cofagrigus,デスカーン,Desukān,Desukarn
564,,Tirtouga,プロトーガ,Purotōga,Protoga
565,,Carracosta,アバゴーラ,Abagōra,Abagoura
566,,Archen,アーケン,Āken,Archen
567,,Archeops,アーケオス,Ākeosu,Archeos
568,,Trubbish,ヤブクロン,Yabukuron,Yabukuron
569,,Garbodor,ダストダス,Dasutodasu,Dustdas
570,,Zorua,ゾロア,Zoroa,Zorua
571,,Zoroark,ゾロアーク,Zoroāku,Zoroark
572,,Minccino,チラーミィ,Chirāmī,Chillarmy
573,,Cinccino,チラチーノ,Chirachīno,Chillaccino
574,,Gothita,ゴチム,Gochimu,Gothimu
575,,Gothorita,ゴチミル,Gochimiru,Gothimiru
576,,Gothitelle,ゴチルゼル,Gochiruzeru,Gothiruselle
577,,Solosis,ユニラン,Yuniran,Uniran
578,,Duosion,ダブラン,Daburan,Doublan
579,,Reuniclus,ランクルス,Rankurusu,Lanculus
580,,Ducklett,コアルヒー,Koaruhī,Koaruhie
581,,Swanna,スワンナ,Suwanna,Swanna
582,,Vanillite,バニプッチ,Baniputchi,Vanipeti
583,,Vanillish,バニリッチ,Baniritchi,Vanirich
584,,Vanilluxe,バイバニラ,Baibanira,Baivanilla
585,,Deerling,シキジカ,Shikijika,Shikijika
586,,Sawsbuck,メブキジカ,Mebukijika,Mebukijika
587,,Emolga,エモンガ,Emonga,Emonga
588,,Karrablast,カブルモ,Kaburumo,Kaburumo
589,,Escavalier,シュバルゴ,Shubarugo,Chevargo
590,,Foongus,タマゲタケ,Tamagetake,Tamagetake
591,,Amoonguss,モロバレル,Morobareru,Morobareru
592,,Frillish,プルリル,Pururiru,Pururill
593,,Jellicent,ブルンゲル,Burungeru,Burungel
594,,Alomomola,ママンボウ,Mamanbō,Mamanbou
595,,Joltik,バチュル,Bachuru,Bachuru
596,,Galvantula,デンチュラ,Denchura,Dentula
597,,Ferroseed,テッシード,Tesshīdo,Tesseed
598,,Ferrothorn,ナットレイ,Nattorei,Nutrey
599,,Klink,ギアル,Giaru,Giaru
600,,Klang,ギギアル,Gigiaru,Gigiaru
601,,Klinklang,ギギギアル,Gigigiaru,Gigigiaru
602,,Tynamo,シビシラス,Shibishirasu,Shibishirasu
603,,Eelektrik,シビビール,Shibibīru,Shibibeel
604,,Eelektross,シビルドン,Shibirudon,Shibirudon
605,,Elgyem,リグレー,Rigurē,Ligray
606,,Beheeyem,オーベム,Ōbemu,Ohbem
607,,Litwick,ヒトモシ,Hitomoshi,Hitomoshi
608,,Lampent,ランプラー,Ranpurā,Lampler
609,,Chandelure,シャンデラ,Shandera,Chandela
610,,Axew,キバゴ,Kibago,Kibago
611,,Fraxure,オノンド,Onondo,Onondo
612,,Haxorus,オノノクス,Ononokusu,Ononokus
613,,Cubchoo,クマシュン,Kumashun,Kumasyun
614,,Beartic,ツンベアー,Tsunbeā,Tunbear
615,,Cryogonal,フリージオ,Furījio,Freegeo
616,,Shelmet,チョボマキ,Chobomaki,Chobomaki
617,,Accelgor,アギルダー,Agirudā,Agilder
618,,Stunfisk,マッギョ,Maggyo,Maggyo
619,,Mienfoo,コジョフー,Kojofū,Kojofu
620,,Mienshao,コジョンド,Kojondo,Kojondo
621,,Druddigon,クリムガン,Kurimugan,Crimgan
622,,Golett,ゴビット,Gobitto,Gobit
623,,Golurk,ゴルーグ,Gorūgu,Goloog
624,,Pawniard,コマタナ,Komatana,Komatana
625,,Bisharp,キリキザン,Kirikizan,Kirikizan
626,,Bouffalant,バッフロン,Baffuron,Buffron
627,,Rufflet,ワシボン,Washibon,Washibon
628,,Braviary,ウォーグル,Wōguru,Warrgle
629,,Vullaby,バルチャイ,Baruchai,Valchai
630,,Mandibuzz,バルジーナ,Barujīna,Vulgina
631,,Heatmor,クイタラン,Kuitaran,Kuitaran
632,,Durant,アイアント,Aianto,Aiant
633,,Deino,モノズ,Monozu,Monozu
634,,Zweilous,ジヘッド,Jiheddo,Dihead
635,,Hydreigon,サザンドラ,Sazandora,Sazandora
636,,Larvesta,メラルバ,Meraruba,Merlarva
637,,Volcarona,ウルガモス,Urugamosu,Ulgamoth
638,,Cobalion,コバルオン,Kobaruon,Cobalon
639,,Terrakion,テラキオン,Terakion,Terrakion
640,,Virizion,ビリジオン,Birijion,Virizion
641,,Tornadus,トルネロス,Torunerosu,Tornelos
642,,Thundurus,ボルトロス,Borutorosu,Voltolos
643,,Reshiram,レシラム,Reshiramu,Reshiram
644,,Zekrom,ゼクロム,Zekuromu,Zekrom
645,,Landorus,ランドロス,Randorosu,Landlos
646,,Kyurem,キュレム,Kyuremu,Kyurem
647,,Keldeo,ケルディオ,Kerudio,Keldeo
648,,Meloetta,メロエッタ,Meroetta,Meloetta
649,,Genesect,ゲノセクト,Genosekuto,Genesect
650,,Chespin,ハリマロン,Harimaron,Harimaron
651,,Quilladin,ハリボーグ,Haribōgu,Hariborg
652,,Chesnaught,ブリガロン,Burigaron,Brigarron
653,,Fennekin,フォッコ,Fokko,Fokko
654,,Braixen,テールナー,Tērunā,Tairenar
655,,Delphox,マフォクシー,Mafokushī,Mahoxy
656,,Froakie,ケロマツ,Keromatsu,Keromatsu
657,,Frogadier,ゲコガシラ,Gekogashira,Gekogashira
658,,Greninja,ゲッコウガ,Gekkōga,Gekkouga
659,,Bunnelby,ホルビー,Horubī,Horubee
660,,Diggersby,ホルード,Horūdo,Horudo
661,,Fletchling,ヤヤコマ,Yayakoma,Yayakoma
662,,Fletchinder,ヒノヤコマ,Hinoyakoma,Hinoyakoma
663,,Talonflame,ファイアロー,Faiarō,Fiarrow
664,,Scatterbug,コフキムシ,Kofukimushi,Kofukimushi
665,,Spewpa,コフーライ,Kofūrai,Kofuurai
666,,Vivillon,ビビヨン,Bibiyon,Viviyon
667,,Litleo,シシコ,Shishiko,Shishiko
668,,Pyroar,カエンジシ,Kaenjishi,Kaenjishi
669,,Flabébé,フラベベ,Furabebe,Flabebe
670,,Floette,フラエッテ,Furaette,Floette
671,,Florges,フラージェス,Furājesu,Florges
672,,Skiddo,メェークル,Mēkuru,Meecle
673,,Gogoat,ゴーゴート,Gōgōto,Gogoat
674,,Pancham,ヤンチャム,Yanchamu,Yancham
675,,Pangoro,ゴロンダ,Goronda,Goronda
676,,Furfrou,トリミアン,Torimian,Trimmien
677,,Espurr,ニャスパー,Nyasupā,Nyasper
678,,Meowstic,ニャオニクス,Nyaonikusu,Nyaonix
679,,Honedge,ヒトツキ,Hitotsuki,Hitotsuki
680,,Doublade,ニダンギル,Nidangiru,Nidangill
681,,Aegislash,ギルガルド,Girugarudo,Gillgard
682,,Spritzee,シュシュプ,Shushupu,Shushupu
683,,Aromatisse,フレフワン,Furefuwan,Frefuwan
684,,Swirlix,ペロッパフ,Peroppafu,Peroppafu
685,,Slurpuff,ペロリーム,Perorīmu,Peroream
686,,Inkay,マーイーカ,Māīka,Maaiika
687,,Malamar,カラマネロ,Karamanero,Calamanero
688,,Binacle,カメテテ,Kametete,Kametete
689,,Barbaracle,ガメノデス,Gamenodesu,Gamenodes
690,,Skrelp,クズモー,Kuzumō,Kuzumo
691,,Dragalge,ドラミドロ,Doramidoro,Dramidoro
692,,Clauncher,ウデッポウ,Udeppō,Udeppou
693,,Clawitzer,ブロスター,Burosutā,Bloster
694,,Helioptile,エリキテル,Erikiteru,Erikiteru
695,,Heliolisk,エレザード,Erezādo,Elezard
696,,Tyrunt,チゴラス,Chigorasu,Chigoras
697,,Tyrantrum,ガチゴラス,Gachigorasu,Gachigoras
698,,Amaura,アマルス,Amarusu,Amarus
699,,Aurorus,アマルルガ,Amaruruga,Amaruruga
700,,Sylveon,ニンフィア,Ninfia,Nymphia
701,,Hawlucha,ルチャブル,Ruchaburu,Luchabull
702,,Dedenne,デデンネ,Dedenne,Dedenne
703,,Carbink,メレシー,Mereshī,Melecie
704,,Goomy,ヌメラ,Numera,Numera
705,,Sliggoo,ヌメイル,Numeiru,Numeil
706,,Goodra,ヌメルゴン,Numerugon,Numelgon
707,,Klefki,クレッフィ,Kureffi,Cleffy
708,,Phantump,ボクレー,Bokurē,Bokurei
709,,Trevenant,オーロット,Ōrotto,Ohrot
710,,Pumpkaboo,バケッチャ,Baketcha,Bakeccha
711,,Gourgeist,パンプジン,Panpujin,Pumpjin
712,,Bergmite,カチコール,Kachikōru,Kachikohru
713,,Avalugg,クレベース,Kurebēsu,Crebase
714,,Noibat,オンバット,Onbatto,Onbat
715,,Noivern,オンバーン,Onbān,Onvern
716,,Xerneas,ゼルネアス,Zeruneasu,Xerneas
717,,Yveltal,イベルタル,Iberutaru,Yveltal
718,,Zygarde,ジガルデ,Jigarude,Zygarde
719,,Diancie,ディアンシー,Dianshī,Diancie
720,,Hoopa,フーパ,Fūpa,Hoopa
721,,Volcanion,ボルケニオン,Borukenion,Volcanion
722,,Rowlet,モクロー,Mokurō,Mokuroh
723,,Dartrix,フクスロー,Fukusurō,Fukuthrow
724,,Decidueye,ジュナイパー,Junaipā,Junaiper
725,,Litten,ニャビー,Nyabī,Nyabby
726,,Torracat,ニャヒート,Nyahīto,Nyaheat
727,,Incineroar,ガオガエン,Gaogaen,Gaogaen
728,,Popplio,アシマリ,Ashimari,Ashimari
729,,Brionne,オシャマリ,Oshamari,Osyamari
730,,Primarina,アシレーヌ,Ashirēnu,Ashirene
731,,Pikipek,ツツケラ,Tsutsukera,Tsutsukera
732,,Trumbeak,ケララッパ,Kerarappa,Kerarappa
733,,Toucannon,ドデカバシ,Dodekabashi,Dodekabashi
734,,Yungoos,ヤングース,Yangūsu,Youngoose
735,,Gumshoos,デカグース,Dekagūsu,Dekagoose
736,,Grubbin,アゴジムシ,Agojimushi,Agojimushi
737,,Charjabug,デンヂムシ,Denjimushi,Dendimushi
738,,Vikavolt,クワガノン,Kuwaganon,Kuwagannon
739,,Crabrawler,マケンカニ,Makenkani,Makenkani
740,,Crabominable,ケケンカニ,Kekenkani,Kekenkani
741,,Oricorio,オドリドリ,Odoridori,Odoridori
742,,Cutiefly,アブリー,Aburī,Abuly
743,,Ribombee,アブリボン,Aburibon,Aburibbon
744,,Rockruff,イワンコ,Iwanko,Iwanko
745,,Lycanroc,ルガルガン,Rugarugan,Lugarugan
746,,Wishiwashi,ヨワシ,Yowashi,Yowashi
747,,Mareanie,ヒドイデ,Hidoide,Hidoide
748,,Toxapex,ドヒドイデ,Dohidoide,Dohidoide
749,,Mudbray,ドロバンコ,Dorobanko,Dorobanko
750,,Mudsdale,バンバドロ,Banbadoro,Banbadoro
751,,Dewpider,シズクモ,Shizukumo,Shizukumo
752,,Araquanid,オニシズクモ,Onishizukumo,Onishizukumo
753,,Fomantis,カリキリ,Karikiri,Karikiri
754,,Lurantis,ラランテス,Rarantesu,Lalantes
755,,Morelull,ネマシュ,Nemashu,Nemasyu
756,,Shiinotic,マシェード,Mashēdo,Mashade
757,,Salandit,ヤトウモリ,Yatōmori,Yatoumori
758,,Salazzle,エンニュート,Ennyūto,Ennewt
759,,Stufful,ヌイコグマ,Nuikoguma,Nuikoguma
760,,Bewear,キテルグマ,Kiteruguma,Kiteruguma
761,,Bounsweet,アマカジ,Amakaji,Amakaji
762,,Steenee,アママイコ,Amamaiko,Amamaiko
763,,Tsareena,アマージョ,Amājo,Amajo
764,,Comfey,キュワワー,Kyuwawā,Cuwawa
765,,Oranguru,ヤレユータン,Yareyūtan,Yareyuutan
766,,Passimian,ナゲツケサル,Nagetsukesaru,Nagetukesaru
767,,Wimpod,コソクムシ,Kosokumushi,Kosokumushi
768,,Golisopod,グソクムシャ,Gusokumusha,Gusokumusha
769,,Sandygast,スナバァ,Sunabā,Sunaba
770,,Palossand,シロデスナ,Shirodesuna,Sirodethna
771,,Pyukumuku,ナマコブシ,Namakobushi,Namakobushi
772,,Type: Null,タイプ：ヌル,Taipu:Nuru,Type: Null
773,,Silvally,シルヴァディ,Shiruvadi,Silvady
774,,Minior,メテノ,Meteno,Meteno
775,,Komala,ネッコアラ,Nekkoara,Nekkoara
776,,Turtonator,バクガメス,Bakugamesu,Bakugames
777,,Togedemaru,トゲデマル,Togedemaru,Togedemaru
778,,Mimikyu,ミミッキュ,Mimikkyu,Mimikkyu
779,,Bruxish,ハギギシリ,Hagigishiri,Hagigishiri
780,,Drampa,ジジーロン,Jijīron,Jijilong
781,,Dhelmise,ダダリン,Dadarin,Dadarin
782,,Jangmo-o,ジャラコ,Jarako,Jyarako
783,,Hakamo-o,ジャランゴ,Jarango,Jyarango
784,,Kommo-o,ジャラランガ,Jararanga,Jyararanga
785,,Tapu Koko,カプ・コケコ,Kapu Kokeko,Kapu-Kokeko
786,,Tapu Lele,カプ・テテフ,Kapu Tetefu,Kapu-Tetefu
787,,Tapu Bulu,カプ・ブルル,Kapu Bururu,Kapu-Bulul
788,,Tapu Fini,カプ・レヒレ,Kapu Rehire,Kapu-Rehire
789,,Cosmog,コスモッグ,Kosumoggu,Cosmog
790,,Cosmoem,コスモウム,Kosumoumu,Cosmovum
791,,Solgaleo,ソルガレオ,Sorugareo,Solgaleo
792,,Lunala,ルナアーラ,Runaāra,Lunala
793,,Nihilego,ウツロイド,Utsuroido,Uturoid
794,,Buzzwole,マッシブーン,Masshibūn,Massivoon
795,,Pheromosa,フェローチェ,Ferōche,Pheroache
796,,Xurkitree,デンジュモク,Denjumoku,Denjyumoku
797,,Celesteela,テッカグヤ,Tekkaguya,Tekkaguya
798,,Kartana,カミツルギ,Kamitsurugi,Kamiturugi
799,,Guzzlord,アクジキング,Akujikingu,Akuziking
800,,Necrozma,ネクロズマ,Nekurozuma,Necrozma
801,,Magearna,マギアナ,Magiana,Magearna
802,,Marshadow,マーシャドー,Māshadō,Marshadow
803,,Poipole,ベベノム,Bebenomu,Bevenom
804,,Naganadel,アーゴヨン,Āgoyon,Agoyon
805,,Stakataka,ツンデツンデ,Tsundetsunde,Tundetunde
806,,Blacephalon,ズガドーン,Zugadōn,Zugadoon
807,,Zeraora,ゼラオラ,Zeraora,Zeraora
808,,Meltan,メルタン,Merutan,Meltan
809,,Melmetal,メルメタル,Merumetaru,Melmetal
810,,Grookey,サルノリ,Sarunori,Sarunori
811,,Thwackey,バチンキー,Bachinkī,Bachinkey
812,,Rillaboom,ゴリランダー,Gorirandā,Gorirander
813,,Scorbunny,ヒバニー,Hibanī,Hibanny
814,,Raboot,ラビフット,Rabifutto,Rabbifuto
815,,Cinderace,エースバーン,Ēsubān,Aceburn
816,,Sobble,メッソン,Messon,Messon
817,,Drizzile,ジメレオン,Jimereon,Jimereon
818,,Inteleon,インテレオン,Intereon,Intereon
819,,Skwovet,ホシガリス,Hoshigarisu,Hoshigarisu
820,,Greedent,ヨクバリス,Yokubarisu,Yokubarisu
821,,Rookidee,ココガラ,Kokogara,Kokogara
822,,Corvisquire,アオガラス,Aogarasu,Aogarasu
823,,Corviknight,アーマーガア,Āmāgā,Armorga
824,,Blipbug,サッチムシ,Satchimushi,Sacchimushi
825,,Dottler,レドームシ,Redōmushi,Redomushi
826,,Orbeetle,イオルブ,Iorubu,Eolb
827,,Nickit,クスネ,Kusune,Kusune
828,,Thievul,フォクスライ,Fokusurai,Foxly
829,,Gossifleur,ヒメンカ,Himenka,Himenka
830,,Eldegoss,ワタシラガ,Watashiraga,Watashiraga
831,,Wooloo,ウールー,Ūrū,Wooluu
832,,Dubwool,バイウールー,Baiūrū,Baiwooluu
833,,Chewtle,カムカメ,Kamukame,Kamukame
834,,Drednaw,カジリガメ,Kajirigame,Kajirigame
835,,Yamper,ワンパチ,Wanpachi,Wanpachi
836,,Boltund,パルスワン,Parusuwan,Pulsewan
837,,Rolycoly,タンドン,Tandon,Tandon
838,,Carkol,トロッゴン,Toroggon,Toroggon
839,,Coalossal,セキタンザン,Sekitanzan,Sekitanzan
840,,Applin,カジッチュ,Kajitchu,Kajicchu
841,,Flapple,アップリュー,Appuryū,Appryu
842,,Appletun,タルップル,Taruppuru,Tarupple
843,,Silicobra,スナヘビ,Sunahebi,Sunahebi
844,,Sandaconda,サダイジャ,Sadaija,Sadaija
845,,Cramorant,ウッウ,U'u,Uu
846,,Arrokuda,サシカマス,Sashikamasu,Sasikamasu
847,,Barraskewda,カマスジョー,Kamasujō,Kamasujaw
848,,Toxel,エレズン,Erezun,Eleson
849,,Toxtricity,ストリンダー,Sutorindā,Strinder
850,,Sizzlipede,ヤクデ,Yakude,Yakude
851,,Centiskorch,マルヤクデ,Maruyakude,Maruyakude
852,,Clobbopus,タタッコ,Tatakko,Tatakko
853,,Grapploct,オトスパス,Otosupasu,Otosupus
854,,Sinistea,ヤバチャ,Yabacha,Yabacha
855,,Polteageist,ポットデス,Pottodesu,Potdeath
856,,Hatenna,ミブリム,Miburimu,Mibrim
857,,Hattrem,テブリム,Teburimu,Tebrim
858,,Hatterene,ブリムオン,Burimuon,Brimuon
859,,Impidimp,ベロバー,Berobā,Beroba
860,,Morgrem,ギモー,Gimō,Gimoh
861,,Grimmsnarl,オーロンゲ,Ōronge,Ohlonge
862,,Obstagoon,タチフサグマ,Tachifusaguma,Tachifusaguma
863,,Perrserker,ニャイキング,Nyaikingu,Nyaiking
864,,Cursola,サニゴーン,Sanigōn,Sunigoon
865,,Sirfetch'd,ネギガナイト,Negiganaito,Negigaknight
866,,Mr. Rime,バリコオル,Barikōru,Barrikohru
867,,Runerigus,デスバーン,Desubān,Deathbarn
868,,Milcery,マホミル,Mahomiru,Mahomil
869,,Alcremie,マホイップ,Mahoippu,Mawhip
870,,Falinks,タイレーツ,Tairētsu,Tairetsu
871,,Pincurchin,バチンウニ,Bachin'uni,Bachinuni
872,,Snom,ユキハミ,Yukihami,Yukihami
873,,Frosmoth,モスノウ,Mosunō,Mothnow
874,,Stonjourner,イシヘンジン,Ishihenjin,Ishihengin
875,,Eiscue,コオリッポ,Kōrippo,Korippo
876,,Indeedee,イエッサン,Iessan,Yessan
877,,Morpeko,モルペコ,Morupeko,Morpeko
878,,Cufant,ゾウドウ,Zōdō,Zoudou
879,,Copperajah,ダイオウドウ,Daiōdō,Daioudou
880,,Dracozolt,パッチラゴン,Patchiragon,Patchiragon
881,,Arctozolt,パッチルドン,Patchirudon,Patchilldon
882,,Dracovish,ウオノラゴン,Uonoragon,Uonoragon
883,,Arctovish,ウオチルドン,Uochirudon,Uochilldon
884,,Duraludon,ジュラルドン,Jurarudon,Duraludon
885,,Dreepy,ドラメシヤ,Dorameshiya,Dorameshiya
886,,Drakloak,ドロンチ,Doronchi,Doronch
887,,Dragapult,ドラパルト,Doraparuto,Dorapult
888,,Zacian,ザシアン,Zashian,Zacian
889,,Zamazenta,ザマゼンタ,Zamazenta,Zamazenta
890,,Eternatus,ムゲンダイナ,Mugendaina,Mugendina
891,,Kubfu,ダクマ,Dakuma,Dakuma
892,,Urshifu,ウーラオス,Ūraosu,Wulaosu
893,,Zarude,ザルード,Zarūdo,Zarude
894,,Regieleki,レジエレキ,Rejiereki,Regieleki
895,,Regidrago,レジドラゴ,Rejidorago,Regidorago
896,,Glastrier,ブリザポス,Burizaposu,Blizzapos
897,,Spectrier,レイスポス,Reisuposu,Wraithpos
898,,Calyrex,バドレックス,Badorekkusu,Budrex
899,,Wyrdeer,アヤシシ,Ayashishi,Ayashishi
900,,Kleavor,バサギリ,Basagiri,Basagiri
901,,Ursaluna,ガチグマ,Gachiguma,Gachiguma
902,,Basculegion,イダイトウ,Idaitō,Idaitou
903,,Sneasler,オオニューラ,Ōnyūra,Ohnyula
904,,Overqwil,ハリーマン,Harīman,Haryman
905,,Enamorus,ラブトロス,Rabutorosu,Lovetolos
