Ndex,Menu Sprite,English,Hangul,Revised,McCune-Reischauer,Official
405,,Luxray,렌트라,Renteura,Rent'ŭra,Renteura
406,,Budew,꼬몽울,Kkomongul,Kkomongul,Komongul
407,,Roserade,로즈레이드,Rojeureideu,Rojŭreidŭ,Rozureid
408,,Cranidos,두개도스,Dugaedoseu,Tugaedosŭ,Dugaedos
409,,Rampardos,램펄드,Raempeoldeu,Raemp'ŏldŭ,Ramparld
410,,Shieldon,방패톱스,Bangpaetopseu,Pangp'aet'opsŭ,Bangpaetops
411,,Bastiodon,바리톱스,Baritopseu,Parit'opsŭ,Baritops
412,,Burmy,도롱충이,Dorongchungi,Torongch'ungi,Dorongchungi
413,,Wormadam,도롱마담,Dorongmadam,Torongmadam,Dorongmadam
414,,Mothim,나메일,Nameil,Nameil,Nameil
415,,Combee,세꿀버리,Sekkulbeori,Sekkulbŏri,Sekkulbeori
416,,Vespiquen,비퀸,Bikwin,Pikwin,Beequein
417,,Pachirisu,파치리스,Pachiriseu,P'ach'irisŭ,Pachirisu
418,,Buizel,브이젤,Beuijel,Pŭijel,Buijel
419,,Floatzel,플로젤,Peullojel,P'ŭllojel,Pulrozel
420,,Cherubi,체리버,Cheribeo,Ch'eribŏ,Cheriber
421,,Cherrim,체리꼬,Cherikko,Ch'erikko,Cheriko
422,,Shellos,깝질무,Kkapjilmu,Kkapchilmu,Kapjilmu
423,,Gastrodon,트리토돈,Teuritodon,T'ŭrit'odon,Tritodon
424,,Ambipom,겟핸보숭,Gethaenbosung,Kethaenbosung,Gethainbosung
425,,Drifloon,흔들풍손,Heundeulpungson,Hŭndŭlp'ungson,Hundlpungson
426,,Drifblim,둥실라이드,Dungsillaideu,Tungsillaidŭ,Dungsilraid
427,,Buneary,이어롤,Ieorol,Iŏrol,Ieorol
428,,Lopunny,이어롭,Ieorop,Iŏrop,Ieorop
429,,Mismagius,무우마직,Muumajik,Muumajik,Muumajik
430,,Honchkrow,돈크로우,Donkeurou,Tonk'ŭrou,Donkeurou
431,,Glameow,나옹마,Naongma,Naongma,Naongma
432,,Purugly,몬냥이,Monnyangi,Monnyangi,Monnyangi
433,,Chingling,랑딸랑,Rangttallang,Rangttallang,Rangttallang
434,,Stunky,스컹뿡,Seukeongppung,Sŭk'ŏngppung,Skunbbung
435,,Skuntank,스컹탱크,Seukeongtaengkeu,Sŭk'ŏngt'aengk'ŭ,Skuntank
436,,Bronzor,동미러,Dongmireo,Tongmirŏ,Dongmirror
437,,Bronzong,동탁군,Dongtakgun,Tongt'akkun,Dongtakgun
438,,Bonsly,꼬지지,Kkojiji,Kkojiji,Kkojiji
439,,Mime Jr.,흉내내,Hyungnaenae,Hyungnaenae,Hungnaenae
440,,Happiny,핑복,Pingbok,P'ingbok,Pingbok
441,,Chatot,페라페,Perape,P'erap'e,Perape
442,,Spiritomb,화강돌,Hwagangdol,Hwagangdol,Hwagangdol
443,,Gible,딥상어동,Dipsangeodong,Tipsangŏdong,Dipsangeodong
444,,Gabite,한바이트,Hanbaiteu,Hanbait'ŭ,Hanbite
445,,Garchomp,한카리아스,Hankariaseu,Hank'ariasŭ,Hankarias
446,,Munchlax,먹고자,Meokgoja,Mŏkkoja,Moukgoja
447,,Riolu,리오르,Rioreu,Riorŭ,Riolu
448,,Lucario,루카리오,Rukario,Ruk'ario,Lucario
449,,Hippopotas,히포포타스,Hipopotaseu,Hip'op'ot'asŭ,Hipopotaseu
450,,Hippowdon,하마돈,Hamadon,Hamadon,Hamadon
451,,Skorupi,스콜피,Seukolpi,Sŭk'olp'i,Skorupi
452,,Drapion,드래피온,Deuraepion,Tŭraep'ion,Drapion
453,,Croagunk,삐딱구리,Ppittakguri,Ppittakkuri,Pitakguri
454,,Toxicroak,독개굴,Dokgaegul,Tokkaegul,Dokgaegul
455,,Carnivine,무스틈니,Museuteumni,Musŭt'ŭmni,Museuteumni
456,,Finneon,형광어,Hyeonggwangeo,Hyŏnggwangŏ,Hyeonggwangeo
457,,Lumineon,네오라이트,Neoraiteu,Neorait'ŭ,Neolite
458,,Mantyke,타만타,Tamanta,T'amant'a,Tamanta
459,,Snover,눈쓰개,Nunsseugae,Nunssŭgae,Nunsseugae
460,,Abomasnow,눈설왕,Nunseorwang,Nunsŏrwang,Nunseolwang
461,,Weavile,포푸니라,Popunira,P'op'unira,Popunira
462,,Magnezone,자포코일,Japokoil,Chap'ok'oil,Zapokoil
463,,Lickilicky,내룸벨트,Naerumbelteu,Naerumbelt'ŭ,Naerumbelt
464,,Rhyperior,거대코뿌리,Geodaekoppuri,Kŏdaek'oppuri,Geodaekopuri
465,,Tangrowth,덩쿠림보,Deongkurimbo,Tŏngk'urimbo,Deongkurimbo
466,,Electivire,에레키블,Erekibeul,Erek'ibŭl,Elekible
467,,Magmortar,마그마번,Mageumabeon,Mageumabŏn,Magmaburn
468,,Togekiss,토게키스,Togekiseu,T'ogek'isŭ,Togekiss
469,,Yanmega,메가자리,Megajari,Megajari,Megajari
470,,Leafeon,리피아,Ripia,Rip'ia,Lipia
471,,Glaceon,글레이시아,Geulleisia,Kŭlleisia,Geulleisia
472,,Gliscor,글라이온,Geullaion,Kŭllaion,Glion
473,,Mamoswine,맘모꾸리,Mammokkuri,Mammokkuri,Mammokkuri
474,,Porygon-Z,폴리곤Z,Polligonjeteu,P'olligonjet'ŭ,PorygonZ
475,,Gallade,엘레이드,Elleideu,Elleidŭ,Ellade
476,,Probopass,대코파스,Daekopaseu,Taek'op'asŭ,Daekopas
477,,Dusknoir,야느와르몽,Yaneuwareumong,Yanŭwarŭmong,Yaneuwareumong
478,,Froslass,눈여아,Nunnyeoa,Nunnyŏa,Nunyeoa
479,,Rotom,로토무,Rotomu,Rot'omu,Rotomu
480,,Uxie,유크시,Yukeusi,Yuk'ŭsi,Yuxie
481,,Mesprit,엠라이트,Emnaiteu,Emnait'ŭ,Emrite
482,,Azelf,아그놈,Ageunom,Agŭnom,Agnome
483,,Dialga,디아루가,Diaruga,Tiaruga,Dialga
484,,Palkia,펄기아,Peolgia,P'ŏlgia,Palkia
485,,Heatran,히드런,Hideureon,Hidŭrŏn,Heatran
486,,Regigigas,레지기가스,Rejigigaseu,Rejigigasŭ,Regigigas
487,,Giratina,기라티나,Giratina,Kirat'ina,Giratina
488,,Cresselia,크레세리아,Keureseria,K'ŭreseria,Cresselia
489,,Phione,피오네,Pione,P'ione,Phione
490,,Manaphy,마나피,Manapi,Manap'i,Manaphy
491,,Darkrai,다크라이,Dakeurai,Tak'ŭrai,Darkrai
492,,Shaymin,쉐이미,Sweimi,Sweimi,Shaymin
493,,Arceus,아르세우스,Areuseuseu,Arŭseusŭ,Arceus
494,,Victini,비크티니,Bikeutini,Pik'ŭt'ini,Victini
495,,Snivy,주리비얀,Juribiyan,Churibiyan,Juribiyan
496,,Servine,샤비,Syabi,Syabi,Syabi
497,,Serperior,샤로다,Syaroda,Syaroda,Syaroda
498,,Tepig,뚜꾸리,Ttukkuri,Ttukkuri,Ttukkuri
499,,Pignite,챠오꿀,Chyaokkul,Ch'yaokkul,Chaokkul
500,,Emboar,염무왕,Yeommuwang,Yŏmmuwang,Yeommuwang
501,,Oshawott,수댕이,Sudaengi,Sudaengi,Sudaengi
502,,Dewott,쌍검자비,Ssanggeomjabi,Ssanggŏmjabi,Ssangeomzabi
503,,Samurott,대검귀,Daegeomgwi,Taegŏmgwi,Daegeomgwi
504,,Patrat,보르쥐,Boreujwi,Porŭjwi,Borujwi
505,,Watchog,보르그,Boreugeu,Porŭgŭ,Borugu
506,,Lillipup,요테리,Yoteri,Yot'eri,Yorterrie
507,,Herdier,하데리어,Haderieo,Haderiŏ,Herderrie
508,,Stoutland,바랜드,Baraendeu,Paraendŭ,Baland
509,,Purrloin,쌔비냥,Ssaebinyang,Ssaebinyang,Ssaebinyang
510,,Liepard,레파르다스,Repareudaseu,Rep'arŭdasŭ,Lepardas
511,,Pansage,야나프,Yanapeu,Yanap'ŭ,Yanappu
512,,Simisage,야나키,Yanaki,Yanak'i,Yanakkie
513,,Pansear,바오프,Baopeu,Paop'ŭ,Baoppu
514,,Simisear,바오키,Baoki,Paok'i,Baokkie
515,,Panpour,앗차프,Atchapeu,Atch'ap'ŭ,Atchappu
516,,Simipour,앗차키,Atchaki,Atch'ak'i,Atchakkie
517,,Munna,몽나,Mongna,Mongna,Mongna
518,,Musharna,몽얌나,Mongyamna,Mongyamna,Mongyamna
519,,Pidove,콩둘기,Kongdulgi,K'ongdulgi,Kongdulgi
520,,Tranquill,유토브,Yutobeu,Yut'obŭ,Yutobu
521,,Unfezant,켄호로우,Kenhorou,K'enhorou,Kenhorrow
522,,Blitzle,줄뮤마,Julmyuma,Chulmyuma,Julmyuma
523,,Zebstrika,제브라이카,Jebeuraika,Chebŭraik'a,Zebraika
524,,Roggenrola,단굴,Dangul,Tan'gul,Dangul
525,,Boldore,암트르,Amteureu,Amt'ŭrŭ,Amtru
526,,Gigalith,기가이어스,Gigaieoseu,Kigaiŏsŭ,Gigaiath
527,,Woobat,또르박쥐,Ttoreubakjwi,Ttorŭbakchwi,Ttorbakjwi
528,,Swoobat,맘박쥐,Mambakjwi,Mambakchwi,Mambakjwi
529,,Drilbur,두더류,Dudeoryu,Tudŏryu,Dudeoryu
530,,Excadrill,몰드류,Moldeuryu,Moldŭryu,Moldryu
531,,Audino,다부니,Dabuni,Tabuni,Dabunie
532,,Timburr,으랏차,Euratcha,Ŭratch'a,Uratcha
533,,Gurdurr,토쇠골,Tosoegol,T'osoegol,Tosoegol
534,,Conkeldurr,노보청,Nobocheong,Noboch'ŏng,Nobocheong
535,,Tympole,동챙이,Dongchaengi,Tongch'aengi,Dongchaengi
536,,Palpitoad,두까비,Dukkabi,Tukkabi,Dukkabi
537,,Seismitoad,두빅굴,Dubikgul,Tubikkul,Dubiggul
538,,Throh,던지미,Deonjimi,Tŏnjimi,Deonjimi
539,,Sawk,타격귀,Tagyeokgwi,T'akkyŏkkwi,Tagyeokgwi
540,,Sewaddle,두르보,Dureubo,Turŭbo,Durbo
541,,Swadloon,두르쿤,Dureukun,Turŭk'un,Durcoon
542,,Leavanny,모아머,Moameo,Moamŏ,Moameo
543,,Venipede,마디네,Madine,Madine,Madine
544,,Whirlipede,휠구,Hwilgu,Hwilgu,Hwilgu
545,,Scolipede,펜드라,Pendeura,P'endŭra,Pendror
546,,Cottonee,소미안,Somian,Somian,Somian
547,,Whimsicott,엘풍,Elpung,Elp'ung,Elfuun
548,,Petilil,치릴리,Chirilli,Ch'irilli,Chirilri
549,,Lilligant,드레디어,Deuredieo,Tŭrediŏ,Dredear
550,,Basculin,배쓰나이,Baesseunai,Paessŭnai,Bessnai
551,,Sandile,깜눈크,Kkamnunkeu,Kkamnunk'ŭ,Kkamnunku
552,,Krokorok,악비르,Akbireu,Akpirŭ,Akbir
553,,Krookodile,악비아르,Akbiareu,Akpiarŭ,Akbiar
554,,Darumaka,달막화,Dalmakhwa,Talmakhwa,Dalmakhwa
555,,Darmanitan,불비달마,Bulbidalma,Pulbidalma,Bulbidalma
556,,Maractus,마라카치,Marakachi,Marak'ach'i,Maracacchi
557,,Dwebble,돌살이,Dolsari,Tolsari,Dolsari
558,,Crustle,암팰리스,Ampaelliseu,Amp'aellisŭ,Ampalace
559,,Scraggy,곤율랭,Gonyullaeng,Konyullaeng,Gonyulraeng
560,,Scrafty,곤율거니,Gonyulgeoni,Konyulgŏni,Gonyulgeoni
561,,Sigilyph,심보러,Simboreo,Simborŏ,Symboler
562,,Yamask,데스마스,Deseumaseu,Tesŭmasŭ,Desumasu
563,,Cofagrigus,데스니칸,Deseunikan,Tesŭnik'an,Desunikan
564,,Tirtouga,프로토가,Peurotoga,P'ŭrot'oga,Protoga
565,,Carracosta,늑골라,Neukgolla,Nŭkkolla,Neukgolra
566,,Archen,아켄,Aken,Ak'en,Aken
567,,Archeops,아케오스,Akeoseu,Ak'eosŭ,Akeos
568,,Trubbish,깨봉이,Kkaebongi,Kkaebongi,Kkaebongi
569,,Garbodor,더스트나,Deoseuteuna,Tŏsŭtŭna,Dustna
570,,Zorua,조로아,Joroa,Choroa,Zorua
571,,Zoroark,조로아크,Joroakeu,Choroak'ŭ,Zoroark
572,,Minccino,치라미,Chirami,Ch'irami,Chillarmy
573,,Cinccino,치라치노,Chirachino,Ch'irach'ino,Chillaccino
574,,Gothita,고디탱,Goditaeng,Kodit'aeng,Goditeng
575,,Gothorita,고디보미,Godibomi,Kodibomi,Godibomi
576,,Gothitelle,고디모아젤,Godimoajel,Kodimoajel,Godimoiselle
577,,Solosis,유니란,Yuniran,Yuniran,Uniran
578,,Duosion,듀란,Dyuran,Tyuran,Dyuran
579,,Reuniclus,란쿨루스,Rankulluseu,Rank'ŭllusŭ,Lanculus
580,,Ducklett,꼬지보리,Kkojibori,Kkojibori,Kkojibori
581,,Swanna,스완나,Seuwanna,Sŭwanna,Swanna
582,,Vanillite,바닐프티,Banilpeuti,Panilp'ŭt'i,Vanipeti
583,,Vanillish,바닐리치,Banillichi,Panillich'i,Vanirich
584,,Vanilluxe,배바닐라,Baebanilla,Paebanilla,Baevanilla
585,,Deerling,사철록,Sacheollok,Sach'ŏllok,Sacheolrok
586,,Sawsbuck,바라철록,Baracheollok,Parach'ŏllok,Baracheolrok
587,,Emolga,에몽가,Emongga,Emongga,Emonga
588,,Karrablast,딱정곤,Ttakjeonggon,Ttakchŏnggon,Ttakjeonggon
589,,Escavalier,슈바르고,Syubareugo,Syubarŭgo,Chevargo
590,,Foongus,깜놀버슬,Kkamnolbeoseul,Kkamnolbŏsŭl,Kamnolberseul
591,,Amoonguss,뽀록나,Pporongna,Pporongna,Pporokna
592,,Frillish,탱그릴,Taenggeuril,T'aenggŭril,Tengguril
593,,Jellicent,탱탱겔,Taengtaenggel,T'aengt'aenggel,Taengtaenggel
594,,Alomomola,맘복치,Mambokchi,Mambokch'i,Mambokchi
595,,Joltik,파쪼옥,Pajjook,P'atchook,Pazzouok
596,,Galvantula,전툴라,Jeontulla,Chŏnt'ulla,Jeontula
597,,Ferroseed,철시드,Cheolsideu,Ch'ŏlsidŭ,Cheolseed
598,,Ferrothorn,너트령,Neoteuryeong,Nŏt'ŭryŏng,Nutryung
599,,Klink,기어르,Gieoreu,Kiŏrŭ,Giaru
600,,Klang,기기어르,Gigieoreu,Kigiŏrŭ,Gigiaru
601,,Klinklang,기기기어르,Gigigieoreu,Kigigiŏrŭ,Gigigiaru
602,,Tynamo,저리어,Jeorieo,Chŏriŏ,Jeorieo
603,,Eelektrik,저리릴,Jeoriril,Chŏriril,Jeoriril
604,,Eelektross,저리더프,Jeorideopeu,Chŏridŏpŭ,Jeorideof
605,,Elgyem,리그레,Rigeure,Rigŭre,Ligray
606,,Beheeyem,벰크,Bemkeu,Pemk'ŭ,Bemk
607,,Litwick,불켜미,Bulkyeomi,Pulk'yŏmi,Bulkyeomi
608,,Lampent,램프라,Raempeura,Raempŭra,Lampler
609,,Chandelure,샹델라,Syangdella,Syangdella,Chandela
610,,Axew,터검니,Teogeomni,T'ŏgŏmni,Teogeomni
611,,Fraxure,액슨도,Aekseundo,Aeksŭndo,Axndo
612,,Haxorus,액스라이즈,Aekseuraijeu,Aeksŭraijŭ,Axrise
613,,Cubchoo,코고미,Kogomi,K'ogomi,Kogomi
614,,Beartic,툰베어,Tunbeeo,T'unbeŏ,Tunbear
615,,Cryogonal,프리지오,Peurijio,P'ŭrijio,Freegeo
616,,Shelmet,쪼마리,Jjomari,Tchomari,Jjomari
617,,Accelgor,어지리더,Eojirideo,Ŏjiridŏ,Eojirideo
618,,Stunfisk,메더,Medeo,Medŏ,Medeo
619,,Mienfoo,비조푸,Bijopu,Pijop'u,Bizofu
620,,Mienshao,비조도,Bijodo,Pijodo,Bizodo
621,,Druddigon,크리만,Keuriman,K'ŭriman,Criman
622,,Golett,골비람,Golbiram,Kolbiram,Golbiram
623,,Golurk,골루그,Gollugeu,Kollugŭ,Goloog
624,,Pawniard,자망칼,Jamangkal,Chamangk'al,Jamangkal
625,,Bisharp,절각참,Jeolgakcham,Chŏlgakch'am,Jeolgakcham
626,,Bouffalant,버프론,Beopeuron,Pŏp'ŭron,Buffron
627,,Rufflet,수리둥보,Suridungbo,Suridungbo,Suridungbo
628,,Braviary,워글,Wogeul,Wŏgŭl,Warrgle
629,,Vullaby,벌차이,Beolchai,Pŏlch'ai,Beolchai
630,,Mandibuzz,버랜지나,Beoraenjina,Pŏraenjina,Beorenjina
631,,Heatmor,앤티골,Aentigol,Aent'igol,Antigol
632,,Durant,아이앤트,Aiaenteu,Aiaent'ŭ,Aiant
633,,Deino,모노두,Monodu,Monodu,Monodoo
634,,Zweilous,디헤드,Dihedeu,Tihedŭ,Dihead
635,,Hydreigon,삼삼드래,Samsamdeurae,Samsamdŭrae,Samsamdrae
636,,Larvesta,활화르바,Hwalhwareuba,Hwalhwarŭba,Hwalhwaruba
637,,Volcarona,불카모스,Bulkamoseu,Pulk'amosŭ,Bulkamos
638,,Cobalion,코바르온,Kobareuon,K'obarŭon,Cobalon
639,,Terrakion,테라키온,Terakion,T'erak'ion,Terrakion
640,,Virizion,비리디온,Biridion,Piridion,Virizion
641,,Tornadus,토네로스,Toneroseu,T'onerosŭ,Tornelos
642,,Thundurus,볼트로스,Bolteuroseu,Polt'ŭrosŭ,Voltolos
643,,Reshiram,레시라무,Resiramu,Resiramu,Reshiram
644,,Zekrom,제크로무,Jekeuromu,Chek'ŭromu,Zekrom
645,,Landorus,랜드로스,Raendeuroseu,Raendŭrosŭ,Landlos
646,,Kyurem,큐레무,Kyuremu,K'yuremu,Kyurem
647,,Keldeo,케르디오,Kereudio,K'erŭdio,Keldeo
648,,Meloetta,메로엣타,Meroetta,Meroëtt'a,?
649,,Genesect,게노세크트,Genosekeuteu,Kenosek'ŭt'ŭ,?
650,,Chespin,도치마론,Dochimaron,Toch'imaron,Dochimaron
651,,Quilladin,도치보구,Dochibogu,Toch'ibogu,?
652,,Chesnaught,브리가론,Beurigaron,Pŭrigaron,Brigarron
653,,Fennekin,푸호꼬,Puhokko,P'uhokko,Puhoko
654,,Braixen,테르나,Tereuna,T'erŭna,?
655,,Delphox,마폭시,Mapoksi,Map'oksi,?
656,,Froakie,개구마르,Gaegumareu,Kaegumarŭ,Gegumaru
657,,Frogadier,개굴반장,Gaegulbanjang,Kaegulbanjang,?
658,,Greninja,개굴닌자,Gaegullinja,Kaegullinja,?
659,,Bunnelby,파르빗,Pareubit,P'arŭbit,?
660,,Diggersby,파르토,Pareuto,P'arŭto,?
661,,Fletchling,화살꼬빈,Hwasalkkobin,Hwasalkkobin,?
662,,Fletchinder,불화살빈,Bulhwasalbin,Purhwasalbin,?
663,,Talonflame,파이어로,Paieoro,P'aiŏro,?
664,,Scatterbug,분이벌레,Bunibeolle,Punibŏlle,?
665,,Spewpa,분떠도리,Buntteodori,Punttŏdori,?
666,,Vivillon,비비용,Bibiyong,Pipiyong,?
667,,Litleo,레오꼬,Reokko,Reokko,?
668,,Pyroar,화염레오,Hwayeomneo,Hwayŏmneo,?
669,,Flabébé,플라베베,Peullabebe,P’ŭllabebe,?
670,,Floette,플라엣테,Peullaette,P'ŭllaëtt'e,?
671,,Florges,플라제스,Peullajeseu,P'ŭllajesŭ,?
672,,Skiddo,메이클,Meikeul,Meik'ŭl,?
673,,Gogoat,고고트,Gogoteu,Kogot'ŭ,?
674,,Pancham,판짱,Panjjang,P'antchang,?
675,,Pangoro,부란다,Buranda,Puranda,?
676,,Furfrou,트리미앙,Teurimiang,T'ŭrimiang,?
677,,Espurr,냐스퍼,Nyaseupeo,Nyasŭp'ŏ,?
678,,Meowstic,냐오닉스,Nyaonikseu,Nyaoniksŭ,?
679,,Honedge,단칼빙,Dankalbing,Tank'albing,?
680,,Doublade,쌍검킬,Ssanggeomkil,Ssanggŏmk'il,?
681,,Aegislash,킬가르도,Kilgareudo,K'ilgarŭdo,?
682,,Spritzee,슈쁘,Syuppeu,Syuppŭ,?
683,,Aromatisse,프레프티르,Peurepeutireu,P'ŭrep'ŭt'irŭ,?
684,,Swirlix,나룸퍼프,Narumpeopeu,Narump'ŏp’ŭ,?
685,,Slurpuff,나루림,Narurim,Narurim,?
686,,Inkay,오케이징,Okeijing,Ok'eijing,Okijing
687,,Malamar,칼라마네로,Kallamanero,K'allamanero,?
688,,Binacle,거북손손,Geobuksonson,Kŏbuksonson,?
689,,Barbaracle,거북손데스,Geobuksondeseu,Kŏbuksondesŭ,?
690,,Skrelp,수레기,Suregi,Suregi,?
691,,Dragalge,드래캄,Deuraekam,Tŭraek'am,?
692,,Clauncher,완철포,Wancheolpo,Wanch'ŏlp'o,?
693,,Clawitzer,블로스터,Beulloseuteo,Pŭllosŭt'ŏ,?
694,,Helioptile,목도리키텔,Mokdorikitel,Moktorik'it'el,?
695,,Heliolisk,일레도리자드,Illedorijadeu,Illedorijadŭ,?
696,,Tyrunt,티고라스,Tigoraseu,T'igorasŭ,?
697,,Tyrantrum,견고라스,Gyeongoraseu,Kyŏn'gorasŭ,?
698,,Amaura,아마루스,Amaruseu,Amarusŭ,?
699,,Aurorus,아마루르가,Amarureuga,Amarurŭga,?
700,,Sylveon,님피아,Nimpia,Nimp'ia,Nymphia
701,,Hawlucha,루차불,Ruchabul,Ruch'abul,?
702,,Dedenne,데덴네,Dedenne,Tedenne,?
703,,Carbink,멜리시,Mellisi,Mellisi,?
704,,Goomy,미끄메라,Mikkeumera,Mikkŭmera,?
705,,Sliggoo,미끄네일,Mikkeuneil,Mikkŭneil,?
706,,Goodra,미끄래곤,Mikkeuraegon,Mikkŭraegon,?
707,,Klefki,클레피,Keullepi,K'ŭllep'i,?
708,,Phantump,나목령,Namongnyeong,Namongnyŏng,?
709,,Trevenant,대로트,Daeroteu,Taerot'ŭ,?
710,,Pumpkaboo,호바귀,Hobagwi,Hobagwi,?
711,,Gourgeist,펌킨인,Peomkinin,P'ŏmk'inin,?
712,,Bergmite,꽁어름,Kkongeoreum,Kkongŏrŭm,?
713,,Avalugg,크레베이스,Keurebeisu,K'ŭrebeisŭ,?
714,,Noibat,음뱃,Eumbaet,Ŭmbaet,?
715,,Noivern,음번,Eumbeon,Ŭmbŏn,?
716,,Xerneas,제르네아스,Jereuneaseu,Cherŭneasŭ,Xerneas
717,,Yveltal,이벨타르,Ibeltareu,Ibelt'arŭ,Yveltal
718,,Zygarde,지가르데,Jigareude,Chigarŭde,Zygarde
719,,Diancie,디안시,Diansi,Tiansi,?
720,,Hoopa,후파,Hupa,Hup'a,Hoopa
721,,Volcanion,볼케니온,Bolkenion,Polk'enion,?
722,,Rowlet,나몰빼미,Namolppaemi,Namolppaemi,Namolppaemi
723,,Dartrix,빼미스로우,Ppaemiseurou,Ppaemisŭrou,?
724,,Decidueye,모크나이퍼,Mokeunaipeo,Mok'ŭnaip'ŏ,?
725,,Litten,냐오불,Nyaobul,Nyaobul,?
726,,Torracat,냐오히트,Nyaohiteu,Nyaohit'ŭ,?
727,,Incineroar,어흥염,Eoheungyeom,Ŏhŭngyŏm,?
728,,Popplio,누리공,Nurigong,Nurigong,?
729,,Brionne,키요공,Kiyogong,K'iyogong,?
730,,Primarina,누리레느,Nurireneu,Nurirenŭ,?
731,,Pikipek,콕코구리,Kokkoguri,K'okk'oguri,?
732,,Trumbeak,크라파,Keurapa,K'ŭrap'a,?
733,,Toucannon,왕큰부리,Wangkeunburi,Wangk'ŭnburi,?
734,,Yungoos,영구스,Yeongguseu,Yŏnggusŭ,?
735,,Gumshoos,형사구스,Hyeongsaguseu,Hyŏngsagusŭ,?
736,,Grubbin,턱지충이,Teokjichungi,T'ŏkchich'ungi,?
737,,Charjabug,전지충이,Jeonjichungi,Chŏnjich'ungi,?
738,,Vikavolt,투구뿌논,Tuguppunon,T'uguppunon,?
739,,Crabrawler,오기지게,Ogijige,Ogijige,?
740,,Crabominable,모단단게,Modandange,Modandan'ge,?
741,,Oricorio,춤추새,Chumchusae,Ch'umch'usae,?
742,,Cutiefly,에블리,Ebeulli,Ebŭlli,?
743,,Ribombee,에리본,Eribon,Eribon,?
744,,Rockruff,암멍이,Ammeongi,Ammŏngi,?
745,,Lycanroc,루가루암,Rugaruam,Rugaruam,?
746,,Wishiwashi,약어리,Yageori,Yagŏri,?
747,,Mareanie,시마사리,Simasari,Shimasari,?
748,,Toxapex,더시마사리,Deosimasari,Tŏshimasari,?
749,,Mudbray,머드나기,Meodeunagi,Mŏdŭnagi,?
750,,Mudsdale,만마드,Manmadeu,Manmadŭ,?
751,,Dewpider,물거미,Mulgeomi,Mulgŏmi,?
752,,Araquanid,깨비물거미,Kkaebimulgeomi,Kkaebimulgŏmi,?
753,,Fomantis,짜랑랑,Jjarangnang,Tcharangnang,?
754,,Lurantis,라란티스,Rarantiseu,Rarant'isŭ,?
755,,Morelull,자마슈,Jamasyu,Chamasyu,?
756,,Shiinotic,마셰이드,Masyeideu,Masyeidŭ,?
757,,Salandit,야도뇽,Yadonyong,Yadonyong,?
758,,Salazzle,염뉴트,Yeomnyuteu,Yŏmnyut'ŭ,?
759,,Stufful,포곰곰,Pogomgom,P'ogomgom,?
760,,Bewear,이븐곰,Ibeungom,Ibŭn'gom,?
761,,Bounsweet,달콤아,Dalkoma,Talk'oma,?
762,,Steenee,달무리나,Dalmurina,Talmurina,?
763,,Tsareena,달코퀸,Dalkokwin,Talk'ok'win,?
764,,Comfey,큐아링,Kyuaring,K'yuaring,?
765,,Oranguru,하랑우탄,Harang-utan,Harang-ut'an,?
766,,Passimian,내던숭이,Naedeonsung-i,Naedŏnsung-i,?
767,,Wimpod,꼬시레,Kkosire,Kkosire,?
768,,Golisopod,갑주무사,Gapjumusa,Kapchumusa,?
769,,Sandygast,모래꿍,Moraekkung,Moraekkung,?
770,,Palossand,모래성이당,Moraeseongidang,Moraesŏngidang,?
771,,Pyukumuku,해무기,Haemugi,Haemugi,?
772,,Type: Null,타입:널,Taip:Neol,T'aip:Nŏl,?
773,,Silvally,실버디,Silbeodi,Shilbŏdi,?
774,,Minior,메테노,Meteno,Met'eno,?
775,,Komala,자말라,Jamalla,Chamalla,?
776,,Turtonator,폭거북스,Pokgeobukseu,P'okkŏbuksŭ,?
777,,Togedemaru,토게데마루,Togedemaru,T'ogedemaru,?
778,,Mimikyu,따라큐,Ttarakyu,Ttarak'yu,Ttarakyu
779,,Bruxish,치갈기,Chigalgi,Ch'igalgi,?
780,,Drampa,할비롱,Halbirong,Halbirong,?
781,,Dhelmise,타타륜,Tataryun,T'at'aryun,?
782,,Jangmo-o,짜랑꼬,Jjarangkko,Tcharangkko,?
783,,Hakamo-o,짜랑고우,Jjaranggou,Tcharanggou,?
784,,Kommo-o,짜랑고우거,Jjaranggougeo,Tcharanggougŏ,?
785,,Tapu Koko,카푸꼬꼬꼭,Kapukkokkokkok,K'ap'ukkokkokkok,Kapukkokkokkok
786,,Tapu Lele,카푸나비나,Kapunabina,K'ap'unabina,Kapunabina
787,,Tapu Bulu,카푸브루루,Kapubeururu,K'ap'ubŭruru,Kapubueruru
788,,Tapu Fini,카푸느지느,Kapuneujineu,K'ap'unŭjinŭ,Kapuneujineu
789,,Cosmog,코스모그,Koseumogeu,K'osŭmogŭ,?
790,,Cosmoem,코스모움,Koseumoum,K'osŭmoum,?
791,,Solgaleo,솔가레오,Solgareo,Solgareo,Solgaleo
792,,Lunala,루나아라,Runaara,Runaara,Lunala
793,,Nihilego,텅비드,Teongbideu,T'ŏngbidŭ,?
794,,Buzzwole,매시붕,Maesibung,Maeshibung,?
795,,Pheromosa,페로코체,Perokoche,P'erok'och'e,?
796,,Xurkitree,전수목,Jeonsumok,Chŏnsumong,?
797,,Celesteela,철화구야,Cheolhwaguya,Ch'ŏrhwaguya,?
