#,Menu Sprite,Pokémon,Ability 1,Ability 2,Hidden
413,,Wormadam (Plant Cloak),Anticipation,,Overcoat
413,,Wormadam (Sandy Cloak),Anticipation,,Overcoat
413,,Wormadam (Trash Cloak),Anticipation,,Overcoat
414,,Mothim,Swarm,,Tinted Lens
415,,Combee,Honey Gather,,Hustle
416,,Vespiquen,Pressure,,Unnerve
417,,Pachirisu,Run Away,Pickup,Volt Absorb
418,,Buizel,Swift Swim,,Water Veil
419,,Floatzel,Swift Swim,,Water Veil
420,,Cherubi,Chlorophyll,,
421,,Cherrim (Overcast Form),Flower Gift,,
421,,Cherrim (Sunshine Form),Flower Gift,,
422,,Shellos (West Sea),Sticky Hold,Storm Drain,Sand Force
422,,Shellos (East Sea),Sticky Hold,Storm Drain,Sand Force
423,,Gastrodon (West Sea),Sticky Hold,Storm Drain,Sand Force
423,,Gastrodon (East Sea),Sticky Hold,Storm Drain,Sand Force
425,,Drifloon,Aftermath,Unburden,Flare Boost
426,,Drifblim,Aftermath,Unburden,Flare Boost
427,,Buneary,Run Away,Klutz,Limber
428,,Lopunny,Cute Charm,Klutz,Limber
428,,Lopunny (Mega Lopunny),Scrappy,,
431,,Glameow,Limber,Own Tempo,Keen Eye
432,,Purugly,Thick Fat,Own Tempo,Defiant
434,,Stunky,Stench,Aftermath,Keen Eye
435,,Skuntank,Stench,Aftermath,Keen Eye
436,,Bronzor,Levitate,Heatproof,Heavy Metal
437,,Bronzong,Levitate,Heatproof,Heavy Metal
441,,Chatot,Keen Eye,Tangled Feet,Big Pecks
442,,Spiritomb,Pressure,,Infiltrator
443,,Gible,Sand Veil,,Rough Skin
444,,Gabite,Sand Veil,,Rough Skin
445,,Garchomp,Sand Veil,,Rough Skin
445,,Garchomp (Mega Garchomp),Sand Force,,
447,,Riolu,Steadfast,Inner Focus,Prankster
448,,Lucario,Steadfast,Inner Focus,Justified
448,,Lucario (Mega Lucario),Adaptability,,
449,,Hippopotas,Sand Stream,,Sand Force
450,,Hippowdon,Sand Stream,,Sand Force
451,,Skorupi,Battle Armor,Sniper,Keen Eye
452,,Drapion,Battle Armor,Sniper,Keen Eye
453,,Croagunk,Anticipation,Dry Skin,Poison Touch
454,,Toxicroak,Anticipation,Dry Skin,Poison Touch
455,,Carnivine,Levitate,,
456,,Finneon,Swift Swim,Storm Drain,Water Veil
457,,Lumineon,Swift Swim,Storm Drain,Water Veil
459,,Snover,Snow Warning,,Soundproof
460,,Abomasnow,Snow Warning,,Soundproof
460,,Abomasnow (Mega Abomasnow),Snow Warning,,
479,,Rotom,Levitate,,
479,,Rotom (Heat Rotom),Levitate,,
479,,Rotom (Wash Rotom),Levitate,,
479,,Rotom (Frost Rotom),Levitate,,
479,,Rotom (Fan Rotom),Levitate,,
479,,Rotom (Mow Rotom),Levitate,,
480,,Uxie,Levitate,,
481,,Mesprit,Levitate,,
482,,Azelf,Levitate,,
483,,Dialga,Pressure,,Telepathy
484,,Palkia,Pressure,,Telepathy
485,,Heatran,Flash Fire,,Flame Body
486,,Regigigas,Slow Start,,
487,,Giratina (Altered Forme),Pressure,,Telepathy
487,,Giratina (Origin Forme),Levitate,,
488,,Cresselia,Levitate,,
489,,Phione,Hydration,,
490,,Manaphy,Hydration,,
491,,Darkrai,Bad Dreams,,
492,,Shaymin (Land Forme),Natural Cure,,
492,,Shaymin (Sky Forme),Serene Grace,,
493,,Arceus,Multitype,,
494,,Victini,Victory Star,,
495,,Snivy,Overgrow,,Contrary
496,,Servine,Overgrow,,Contrary
497,,Serperior,Overgrow,,Contrary
498,,Tepig,Blaze,,Thick Fat
499,,Pignite,Blaze,,Thick Fat
500,,Emboar,Blaze,,Reckless
501,,Oshawott,Torrent,,Shell Armor
502,,Dewott,Torrent,,Shell Armor
503,,Samurott,Torrent,,Shell Armor
503,,Samurott (Hisuian Samurott),Torrent,,Shell Armor
504,,Patrat,Run Away,Keen Eye,Analytic
505,,Watchog,Illuminate,Keen Eye,Analytic
506,,Lillipup,Vital Spirit,Pickup,Run Away
507,,Herdier,Intimidate,Sand Rush,Scrappy
508,,Stoutland,Intimidate,Sand Rush,Scrappy
509,,Purrloin,Limber,Unburden,Prankster
510,,Liepard,Limber,Unburden,Prankster
511,,Pansage,Gluttony,,Overgrow
512,,Simisage,Gluttony,,Overgrow
513,,Pansear,Gluttony,,Blaze
514,,Simisear,Gluttony,,Blaze
515,,Panpour,Gluttony,,Torrent
516,,Simipour,Gluttony,,Torrent
517,,Munna,Forewarn,Synchronize,Telepathy
518,,Musharna,Forewarn,Synchronize,Telepathy
519,,Pidove,Big Pecks,Super Luck,Rivalry
520,,Tranquill,Big Pecks,Super Luck,Rivalry
521,,Unfezant,Big Pecks,Super Luck,Rivalry
522,,Blitzle,Lightning Rod,Motor Drive,Sap Sipper
523,,Zebstrika,Lightning Rod,Motor Drive,Sap Sipper
524,,Roggenrola,Sturdy,Weak Armor,Sand Force
525,,Boldore,Sturdy,Weak Armor,Sand Force
526,,Gigalith,Sturdy,Sand Stream,Sand Force
527,,Woobat,Unaware,Klutz,Simple
528,,Swoobat,Unaware,Klutz,Simple
529,,Drilbur,Sand Rush,Sand Force,Mold Breaker
530,,Excadrill,Sand Rush,Sand Force,Mold Breaker
531,,Audino,Healer,Regenerator,Klutz
531,,Audino (Mega Audino),Healer,,
532,,Timburr,Guts,Sheer Force,Iron Fist
533,,Gurdurr,Guts,Sheer Force,Iron Fist
534,,Conkeldurr,Guts,Sheer Force,Iron Fist
535,,Tympole,Swift Swim,Hydration,Water Absorb
536,,Palpitoad,Swift Swim,Hydration,Water Absorb
537,,Seismitoad,Swift Swim,Poison Touch,Water Absorb
538,,Throh,Guts,Inner Focus,Mold Breaker
539,,Sawk,Sturdy,Inner Focus,Mold Breaker
540,,Sewaddle,Swarm,Chlorophyll,Overcoat
541,,Swadloon,Leaf Guard,Chlorophyll,Overcoat
542,,Leavanny,Swarm,Chlorophyll,Overcoat
543,,Venipede,Poison Point,Swarm,Speed Boost
544,,Whirlipede,Poison Point,Swarm,Speed Boost
545,,Scolipede,Poison Point,Swarm,Speed Boost
546,,Cottonee,Prankster,Infiltrator,Chlorophyll
547,,Whimsicott,Prankster,Infiltrator,Chlorophyll
548,,Petilil,Chlorophyll,Own Tempo,Leaf Guard
549,,Lilligant,Chlorophyll,Own Tempo,Leaf Guard
549,,Lilligant (Hisuian Lilligant),Chlorophyll,Hustle,Leaf Guard
550,,Basculin (Red-Striped Form),Reckless,Adaptability,Mold Breaker
550,,Basculin (Blue-Striped Form),Rock Head,Adaptability,Mold Breaker
550,,Basculin (White-Striped Form),Rattled,Adaptability,Mold Breaker
902,,Basculegion,Rattled,Adaptability,Mold Breaker
551,,Sandile,Intimidate,Moxie,Anger Point
552,,Krokorok,Intimidate,Moxie,Anger Point
553,,Krookodile,Intimidate,Moxie,Anger Point
554,,Darumaka,Hustle,,Inner Focus
554,,Darumaka (Galarian Darumaka),Hustle,,Inner Focus
555,,Darmanitan (Standard Mode),Sheer Force,,Zen Mode
555,,Darmanitan (Zen Mode),Zen Mode,,
555,,Darmanitan (Galarian Standard Mode),Gorilla Tactics,,Zen Mode
555,,Darmanitan (Galarian Zen Mode),Zen Mode,,
556,,Maractus,Water Absorb,Chlorophyll,Storm Drain
557,,Dwebble,Sturdy,Shell Armor,Weak Armor
558,,Crustle,Sturdy,Shell Armor,Weak Armor
559,,Scraggy,Shed Skin,Moxie,Intimidate
560,,Scrafty,Shed Skin,Moxie,Intimidate
561,,Sigilyph,Wonder Skin,Magic Guard,Tinted Lens
562,,Yamask,Mummy,,
562,,Yamask (Galarian Yamask),Wandering Spirit,,
563,,Cofagrigus,Mummy,,
867,,Runerigus,Wandering Spirit,,
564,,Tirtouga,Solid Rock,Sturdy,Swift Swim
565,,Carracosta,Solid Rock,Sturdy,Swift Swim
566,,Archen,Defeatist,,
567,,Archeops,Defeatist,,
568,,Trubbish,Stench,Sticky Hold,Aftermath
569,,Garbodor,Stench,Weak Armor,Aftermath
570,,Zorua,Illusion,,
570,,Zorua (Hisuian Zorua),Illusion,,
571,,Zoroark,Illusion,,
571,,Zoroark (Hisuian Zoroark),Illusion,,
572,,Minccino,Cute Charm,Technician,Skill Link
573,,Cinccino,Cute Charm,Technician,Skill Link
574,,Gothita,Frisk,Competitive,Shadow Tag
575,,Gothorita,Frisk,Competitive,Shadow Tag
576,,Gothitelle,Frisk,Competitive,Shadow Tag
577,,Solosis,Overcoat,Magic Guard,Regenerator
578,,Duosion,Overcoat,Magic Guard,Regenerator
579,,Reuniclus,Overcoat,Magic Guard,Regenerator
580,,Ducklett,Keen Eye,Big Pecks,Hydration
581,,Swanna,Keen Eye,Big Pecks,Hydration
582,,Vanillite,Ice Body,Snow Cloak,Weak Armor
583,,Vanillish,Ice Body,Snow Cloak,Weak Armor
584,,Vanilluxe,Ice Body,Snow Warning,Weak Armor
585,,Deerling (Spring),Chlorophyll,Sap Sipper,Serene Grace
585,,Deerling (Sumer),Chlorophyll,Sap Sipper,Serene Grace
585,,Deerling (Autumn),Chlorophyll,Sap Sipper,Serene Grace
585,,Deerling (Winter),Chlorophyll,Sap Sipper,Serene Grace
586,,Sawsbuck (Spring),Chlorophyll,Sap Sipper,Serene Grace
586,,Sawsbuck (Summer),Chlorophyll,Sap Sipper,Serene Grace
586,,Sawsbuck (Autumn),Chlorophyll,Sap Sipper,Serene Grace
586,,Sawsbuck (Winter),Chlorophyll,Sap Sipper,Serene Grace
587,,Emolga,Static,,Motor Drive
588,,Karrablast,Swarm,Shed Skin,No Guard
589,,Escavalier,Swarm,Shell Armor,Overcoat
590,,Foongus,Effect Spore,,Regenerator
591,,Amoonguss,Effect Spore,,Regenerator
592,,Frillish,Water Absorb,Cursed Body,Damp
593,,Jellicent,Water Absorb,Cursed Body,Damp
594,,Alomomola,Healer,Hydration,Regenerator
595,,Joltik,Compound Eyes,Unnerve,Swarm
596,,Galvantula,Compound Eyes,Unnerve,Swarm
597,,Ferroseed,Iron Barbs,,
598,,Ferrothorn,Iron Barbs,,Anticipation
599,,Klink,Plus,Minus,Clear Body
600,,Klang,Plus,Minus,Clear Body
601,,Klinklang,Plus,Minus,Clear Body
602,,Tynamo,Levitate,,
603,,Eelektrik,Levitate,,
604,,Eelektross,Levitate,,
605,,Elgyem,Telepathy,Synchronize,Analytic
606,,Beheeyem,Telepathy,Synchronize,Analytic
607,,Litwick,Flash Fire,Flame Body,Infiltrator
608,,Lampent,Flash Fire,Flame Body,Infiltrator
609,,Chandelure,Flash Fire,Flame Body,Infiltrator
610,,Axew,Rivalry,Mold Breaker,Unnerve
611,,Fraxure,Rivalry,Mold Breaker,Unnerve
612,,Haxorus,Rivalry,Mold Breaker,Unnerve
613,,Cubchoo,Snow Cloak,Slush Rush,Rattled
614,,Beartic,Snow Cloak,Slush Rush,Swift Swim
615,,Cryogonal,Levitate,,
616,,Shelmet,Hydration,Shell Armor,Overcoat
617,,Accelgor,Hydration,Sticky Hold,Unburden
618,,Stunfisk,Static,Limber,Sand Veil
618,,Stunfisk (Galarian Stunfisk),Mimicry,,
619,,Mienfoo,Inner Focus,Regenerator,Reckless
620,,Mienshao,Inner Focus,Regenerator,Reckless
621,,Druddigon,Rough Skin,Sheer Force,Mold Breaker
622,,Golett,Iron Fist,Klutz,No Guard
623,,Golurk,Iron Fist,Klutz,No Guard
624,,Pawniard,Defiant,Inner Focus,Pressure
625,,Bisharp,Defiant,Inner Focus,Pressure
626,,Bouffalant,Reckless,Sap Sipper,Soundproof
627,,Rufflet,Keen Eye,Sheer Force,Hustle
628,,Braviary,Keen Eye,Sheer Force,Defiant
628,,Braviary (Hisuian Braviary),Keen Eye,Sheer Force,Defiant
629,,Vullaby,Big Pecks,Overcoat,Weak Armor
630,,Mandibuzz,Big Pecks,Overcoat,Weak Armor
631,,Heatmor,Gluttony,Flash Fire,White Smoke
632,,Durant,Swarm,Hustle,Truant
633,,Deino,Hustle,,
634,,Zweilous,Hustle,,
635,,Hydreigon,Levitate,,
636,,Larvesta,Flame Body,,Swarm
637,,Volcarona,Flame Body,,Swarm
638,,Cobalion,Justified,,
639,,Terrakion,Justified,,
640,,Virizion,Justified,,
641,,Tornadus (Incarnate Forme),Prankster,,Defiant
641,,Tornadus (Therian Forme),Regenerator,,
642,,Thundurus (Incarnate Forme),Prankster,,Defiant
642,,Thundurus (Therian Forme),Volt Absorb,,
643,,Reshiram,Turboblaze,,
644,,Zekrom,Teravolt,,
645,,Landorus (Incarnate Forme),Sand Force,,Sheer Force
645,,Landorus (Therian Forme),Intimidate,,
646,,Kyurem,Pressure,,
646,,Kyurem (White Kyurem),Turboblaze,,
646,,Kyurem (Black Kyurem),Teravolt,,
647,,Keldeo (Ordinary Forme),Justified,,
647,,Keldeo (Resolute Forme),Justified,,
648,,Meloetta (Aria Forme),Serene Grace,,
648,,Meloetta (Pirouette Forme),Serene Grace,,
649,,Genesect,Download,,
650,,Chespin,Overgrow,,Bulletproof
651,,Quilladin,Overgrow,,Bulletproof
652,,Chesnaught,Overgrow,,Bulletproof
653,,Fennekin,Blaze,,Magician
654,,Braixen,Blaze,,Magician
655,,Delphox,Blaze,,Magician
656,,Froakie,Torrent,,Protean
657,,Frogadier,Torrent,,Protean
658,,Greninja,Torrent,,Protean
658,,Greninja (Ash-Greninja),Battle Bond,,
659,,Bunnelby,Pickup,Cheek Pouch,Huge Power
660,,Diggersby,Pickup,Cheek Pouch,Huge Power
661,,Fletchling,Big Pecks,,Gale Wings
662,,Fletchinder,Flame Body,,Gale Wings
663,,Talonflame,Flame Body,,Gale Wings
664,,Scatterbug,Shield Dust,Compound Eyes,Friend Guard
665,,Spewpa,Shed Skin,,Friend Guard
666,,Vivillon,Shield Dust,Compound Eyes,Friend Guard
667,,Litleo,Rivalry,Unnerve,Moxie
668,,Pyroar,Rivalry,Unnerve,Moxie
669,,Flabébé,Flower Veil,,Symbiosis
670,,Floette,Flower Veil,,Symbiosis
670,,Floette (Eternal Flower),Flower Veil,,
671,,Florges,Flower Veil,,Symbiosis
672,,Skiddo,Sap Sipper,,Grass Pelt
673,,Gogoat,Sap Sipper,,Grass Pelt
674,,Pancham,Iron Fist,Mold Breaker,Scrappy
675,,Pangoro,Iron Fist,Mold Breaker,Scrappy
676,,Furfrou,Fur Coat,,
677,,Espurr,Keen Eye,Infiltrator,Own Tempo
678,,Meowstic (Male),Keen Eye,Infiltrator,Prankster
678,,Meowstic (Female),Keen Eye,Infiltrator,Competitive
679,,Honedge,No Guard,,
680,,Doublade,No Guard,,
681,,Aegislash (Shield Forme),Stance Change,,
681,,Aegislash (Blade Forme),Stance Change,,
682,,Spritzee,Healer,,Aroma Veil
683,,Aromatisse,Healer,,Aroma Veil
684,,Swirlix,Sweet Veil,,Unburden
685,,Slurpuff,Sweet Veil,,Unburden
686,,Inkay,Contrary,Suction Cups,Infiltrator
687,,Malamar,Contrary,Suction Cups,Infiltrator
688,,Binacle,Tough Claws,Sniper,Pickpocket
689,,Barbaracle,Tough Claws,Sniper,Pickpocket
690,,Skrelp,Poison Point,Poison Touch,Adaptability
691,,Dragalge,Poison Point,Poison Touch,Adaptability
692,,Clauncher,Mega Launcher,,
693,,Clawitzer,Mega Launcher,,
694,,Helioptile,Dry Skin,Sand Veil,Solar Power
695,,Heliolisk,Dry Skin,Sand Veil,Solar Power
696,,Tyrunt,Strong Jaw,,Sturdy
697,,Tyrantrum,Strong Jaw,,Rock Head
698,,Amaura,Refrigerate,,Snow Warning
699,,Aurorus,Refrigerate,,Snow Warning
701,,Hawlucha,Limber,Unburden,Mold Breaker
702,,Dedenne,Cheek Pouch,Pickup,Plus
703,,Carbink,Clear Body,,Sturdy
704,,Goomy,Sap Sipper,Hydration,Gooey
705,,Sliggoo,Sap Sipper,Hydration,Gooey
705,,Sliggoo (Hisuian Sliggoo),Sap Sipper,Overcoat,Gooey
706,,Goodra,Sap Sipper,Hydration,Gooey
706,,Goodra (Hisuian Goodra),Sap Sipper,Overcoat,Gooey
707,,Klefki,Prankster,,Magician
708,,Phantump,Natural Cure,Frisk,Harvest
709,,Trevenant,Natural Cure,Frisk,Harvest
710,,Pumpkaboo,Pickup,Frisk,Insomnia
711,,Gourgeist,Pickup,Frisk,Insomnia
712,,Bergmite,Own Tempo,Ice Body,Sturdy
713,,Avalugg,Own Tempo,Ice Body,Sturdy
713,,Avalugg (Hisuian Avalugg),Strong Jaw,Ice Body,Sturdy
714,,Noibat,Frisk,Infiltrator,Telepathy
715,,Noivern,Frisk,Infiltrator,Telepathy
716,,Xerneas,Fairy Aura,,
717,,Yveltal,Dark Aura,,
718,,Zygarde (50% Forme),Aura Break,Power Construct,
718,,Zygarde (10% Forme),Aura Break,Power Construct,
718,,Zygarde (Complete Forme),Power Construct,,
719,,Diancie,Clear Body,,
719,,Diancie (Mega Diancie),Magic Bounce,,
720,,Hoopa (Hoopa Confined),Magician,,
720,,Hoopa (Hoopa Unbound),Magician,,
721,,Volcanion,Water Absorb,,
722,,Rowlet,Overgrow,,Long Reach
723,,Dartrix,Overgrow,,Long Reach
724,,Decidueye,Overgrow,,Long Reach
724,,Decidueye (Hisuian Decidueye),Overgrow,,Long Reach
725,,Litten,Blaze,,Intimidate
726,,Torracat,Blaze,,Intimidate
727,,Incineroar,Blaze,,Intimidate
728,,Popplio,Torrent,,Liquid Voice
729,,Brionne,Torrent,,Liquid Voice
730,,Primarina,Torrent,,Liquid Voice
731,,Pikipek,Keen Eye,Skill Link,Pickup
732,,Trumbeak,Keen Eye,Skill Link,Pickup
733,,Toucannon,Keen Eye,Skill Link,Sheer Force
734,,Yungoos,Stakeout,Strong Jaw,Adaptability
735,,Gumshoos,Stakeout,Strong Jaw,Adaptability
736,,Grubbin,Swarm,,
737,,Charjabug,Battery,,
738,,Vikavolt,Levitate,,
739,,Crabrawler,Hyper Cutter,Iron Fist,Anger Point
740,,Crabominable,Hyper Cutter,Iron Fist,Anger Point
741,,Oricorio (Baile Style),Dancer,,
741,,Oricorio (Pom-Pom Style),Dancer,,
741,,Oricorio (Pa'u Style),Dancer,,
741,,Oricorio (Sensu Style),Dancer,,
742,,Cutiefly,Honey Gather,Shield Dust,Sweet Veil
743,,Ribombee,Honey Gather,Shield Dust,Sweet Veil
744,,Rockruff,Keen Eye,Vital Spirit,Steadfast
744,,Rockruff (Event),Own Tempo,,
745,,Lycanroc (Midday Form),Keen Eye,Sand Rush,Steadfast
745,,Lycanroc (Midnight Form),Keen Eye,Vital Spirit,No Guard
745,,Lycanroc (Dusk Form),Tough Claws,,
746,,Wishiwashi (Solo Form),Schooling,,
746,,Wishiwashi (School Form),Schooling,,
747,,Mareanie,Merciless,Limber,Regenerator
748,,Toxapex,Merciless,Limber,Regenerator
749,,Mudbray,Own Tempo,Stamina,Inner Focus
750,,Mudsdale,Own Tempo,Stamina,Inner Focus
751,,Dewpider,Water Bubble,,Water Absorb
752,,Araquanid,Water Bubble,,Water Absorb
753,,Fomantis,Leaf Guard,,Contrary
754,,Lurantis,Leaf Guard,,Contrary
755,,Morelull,Illuminate,Effect Spore,Rain Dish
756,,Shiinotic,Illuminate,Effect Spore,Rain Dish
757,,Salandit,Corrosion,,Oblivious
758,,Salazzle,Corrosion,,Oblivious
759,,Stufful,Fluffy,Klutz,Cute Charm
760,,Bewear,Fluffy,Klutz,Unnerve
761,,Bounsweet,Leaf Guard,Oblivious,Sweet Veil
762,,Steenee,Leaf Guard,Oblivious,Sweet Veil
763,,Tsareena,Leaf Guard,Queenly Majesty,Sweet Veil
764,,Comfey,Flower Veil,Triage,Natural Cure
765,,Oranguru,Inner Focus,Telepathy,Symbiosis
766,,Passimian,Receiver,,Defiant
767,,Wimpod,Wimp Out,,
768,,Golisopod,Emergency Exit,,
769,,Sandygast,Water Compaction,,Sand Veil
770,,Palossand,Water Compaction,,Sand Veil
771,,Pyukumuku,Innards Out,,Unaware
772,,Type: Null,Battle Armor,,
773,,Silvally,RKS System,,
774,,Minior (Meteor Form),Shields Down,,
774,,Minior (Core),Shields Down,,
775,,Komala,Comatose,,
776,,Turtonator,Shell Armor,,
777,,Togedemaru,Iron Barbs,Lightning Rod,Sturdy
778,,Mimikyu (Disguised Form),Disguise,,
778,,Mimikyu (Busted Form),Disguise,,
779,,Bruxish,Dazzling,Strong Jaw,Wonder Skin
780,,Drampa,Berserk,Sap Sipper,Cloud Nine
781,,Dhelmise,Steelworker,,
782,,Jangmo-o,Bulletproof,Soundproof,Overcoat
783,,Hakamo-o,Bulletproof,Soundproof,Overcoat
784,,Kommo-o,Bulletproof,Soundproof,Overcoat
785,,Tapu Koko,Electric Surge,,Telepathy
786,,Tapu Lele,Psychic Surge,,Telepathy
787,,Tapu Bulu,Grassy Surge,,Telepathy
788,,Tapu Fini,Misty Surge,,Telepathy
789,,Cosmog,Unaware,,
790,,Cosmoem,Sturdy,,
791,,Solgaleo,Full Metal Body,,
792,,Lunala,Shadow Shield,,
793,,Nihilego,Beast Boost,,
794,,Buzzwole,Beast Boost,,
795,,Pheromosa,Beast Boost,,
796,,Xurkitree,Beast Boost,,
797,,Celesteela,Beast Boost,,
798,,Kartana,Beast Boost,,
799,,Guzzlord,Beast Boost,,
800,,Necrozma,Prism Armor,,
800,,Necrozma (Dusk Mane Necrozma),Prism Armor,,
800,,Necrozma (Dawn Wings Necrozma),Prism Armor,,
800,,Necrozma (Ultra Necrozma),Neuroforce,,
801,,Magearna,Soul-Heart,,
802,,Marshadow,Technician,,
803,,Poipole,Beast Boost,,
804,,Naganadel,Beast Boost,,
805,,Stakataka,Beast Boost,,
806,,Blacephalon,Beast Boost,,
807,,Zeraora,Volt Absorb,,
808,,Meltan,Magnet Pull,,
809,,Melmetal,Iron Fist,,
810,,Grookey,Overgrow,,Grassy Surge
811,,Thwackey,Overgrow,,Grassy Surge
812,,Rillaboom,Overgrow,,Grassy Surge
813,,Scorbunny,Blaze,,Libero
814,,Raboot,Blaze,,Libero
815,,Cinderace,Blaze,,Libero
816,,Sobble,Torrent,,Sniper
817,,Drizzile,Torrent,,Sniper
818,,Inteleon,Torrent,,Sniper
819,,Skwovet,Cheek Pouch,,Gluttony
820,,Greedent,Cheek Pouch,,Gluttony
821,,Rookidee,Keen Eye,Unnerve,Big Pecks
822,,Corvisquire,Keen Eye,Unnerve,Big Pecks
823,,Corviknight,Pressure,Unnerve,Mirror Armor
824,,Blipbug,Swarm,Compound Eyes,Telepathy
825,,Dottler,Swarm,Compound Eyes,Telepathy
826,,Orbeetle,Swarm,Frisk,Telepathy
827,,Nickit,Run Away,Unburden,Stakeout
828,,Thievul,Run Away,Unburden,Stakeout
829,,Gossifleur,Cotton Down,Regenerator,Effect Spore
830,,Eldegoss,Cotton Down,Regenerator,Effect Spore
831,,Wooloo,Fluffy,Run Away,Bulletproof
832,,Dubwool,Fluffy,Steadfast,Bulletproof
833,,Chewtle,Strong Jaw,Shell Armor,Swift Swim
834,,Drednaw,Strong Jaw,Shell Armor,Swift Swim
835,,Yamper,Ball Fetch,,Rattled
836,,Boltund,Strong Jaw,,Competitive
837,,Rolycoly,Steam Engine,Heatproof,Flash Fire
838,,Carkol,Steam Engine,Flame Body,Flash Fire
839,,Coalossal,Steam Engine,Flame Body,Flash Fire
840,,Applin,Ripen,Gluttony,Bulletproof
841,,Flapple,Ripen,Gluttony,Hustle
842,,Appletun,Ripen,Gluttony,Thick Fat
843,,Silicobra,Sand Spit,Shed Skin,Sand Veil
844,,Sandaconda,Sand Spit,Shed Skin,Sand Veil
845,,Cramorant,Gulp Missile,,
845,,Cramorant (Gulping Form),Gulp Missile,,
845,,Cramorant (Gorging Form),Gulp Missile,,
846,,Arrokuda,Swift Swim,,Propeller Tail
847,,Barraskewda,Swift Swim,,Propeller Tail
848,,Toxel,Rattled,Static,Klutz
849,,Toxtricity (Amped Form),Punk Rock,Plus,Technician
849,,Toxtricity (Low Key Form),Punk Rock,Minus,Technician
850,,Sizzlipede,Flash Fire,White Smoke,Flame Body
851,,Centiskorch,Flash Fire,White Smoke,Flame Body
852,,Clobbopus,Limber,,Technician
853,,Grapploct,Limber,,Technician
854,,Sinistea,Weak Armor,,Cursed Body
855,,Polteageist,Weak Armor,,Cursed Body
856,,Hatenna,Healer,Anticipation,Magic Bounce
857,,Hattrem,Healer,Anticipation,Magic Bounce
858,,Hatterene,Healer,Anticipation,Magic Bounce
859,,Impidimp,Prankster,Frisk,Pickpocket
860,,Morgrem,Prankster,Frisk,Pickpocket
861,,Grimmsnarl,Prankster,Frisk,Pickpocket
868,,Milcery,Sweet Veil,,Aroma Veil
869,,Alcremie,Sweet Veil,,Aroma Veil
870,,Falinks,Battle Armor,,Defiant
871,,Pincurchin,Lightning Rod,,Electric Surge
872,,Snom,Shield Dust,,Ice Scales
873,,Frosmoth,Shield Dust,,Ice Scales
874,,Stonjourner,Power Spot,,
875,,Eiscue (Ice Face),Ice Face,,
875,,Eiscue (Noice Face),Ice Face,,
876,,Indeedee (Male),Inner Focus,Synchronize,Psychic Surge
876,,Indeedee (Female),Own Tempo,Synchronize,Psychic Surge
877,,Morpeko (Full Belly Mode),Hunger Switch,,
877,,Morpeko (Hangry Mode),Hunger Switch,,
878,,Cufant,Sheer Force,,Heavy Metal
879,,Copperajah,Sheer Force,,Heavy Metal
880,,Dracozolt,Volt Absorb,Hustle,Sand Rush
881,,Arctozolt,Volt Absorb,Static,Slush Rush
882,,Dracovish,Water Absorb,Strong Jaw,Sand Rush
883,,Arctovish,Water Absorb,Ice Body,Slush Rush
884,,Duraludon,Light Metal,Heavy Metal,Stalwart
885,,Dreepy,Clear Body,Infiltrator,Cursed Body
886,,Drakloak,Clear Body,Infiltrator,Cursed Body
887,,Dragapult,Clear Body,Infiltrator,Cursed Body
888,,Zacian (Hero of Many Battles),Intrepid Sword,,
888,,Zacian (Crowned Sword),Intrepid Sword,,
889,,Zamazenta (Hero of Many Battles),Dauntless Shield,,
889,,Zamazenta (Crowned Shield),Dauntless Shield,,
890,,Eternatus,Pressure,,
890,,Eternatus (Eternamax Eternatus),Pressure,,
891,,Kubfu,Inner Focus,,
892,,Urshifu (Single Strike Style),Unseen Fist,,
892,,Urshifu (Rapid Strike Style),Unseen Fist,,
893,,Zarude,Leaf Guard,,
894,,Regieleki,Transistor,,
895,,Regidrago,Dragon's Maw,,
896,,Glastrier,Chilling Neigh,,
897,,Spectrier,Grim Neigh,,
898,,Calyrex,Unnerve,,
898,,Calyrex (Ice Rider Calyrex),As One,,
898,,Calyrex (Shadow Rider Calyrex),As One,,
905,,Enamorus (Incarnate Forme),Healer,,Contrary
905,,Enamorus (Therian Forme),Overcoat,,
